explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,latent_100-200,wallpaper,-50,-50,-50,-50,-50,16.0,443.0,8.0,86.0,7.0,11.0,278.0,4.0,90.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,latent_100-200,wallpaper,-50,-50,-50,-50,-50,11.0,69.0,5.0,66.0,5.0,17.0,413.0,4.0,81.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,latent_100-200,wallpaper,-50,-50,-100,50,100,13.0,237.0,1.0,90.0,9.0,15.0,193.0,5.0,96.0,10.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,latent_100-200,wallpaper,-50,-80,-100,-100,-100,9.0,364.0,5.0,56.0,8.0,7.0,188.0,9.0,92.0,8.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,latent_100-200,wallpaper,100,100,100,100,-50,20.0,208.0,8.0,90.0,7.0,6.0,140.0,7.0,95.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,latent_100-200,wallpaper,-50,-50,-100,-50,-100,8.0,82.0,2.0,84.0,4.0,7.0,132.0,7.0,83.0,8.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,latent_100-200,wallpaper,-50,-50,-100,-100,-50,19.0,77.0,2.0,74.0,4.0,8.0,127.0,10.0,96.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,latent_100-200,wallpaper,-100,-100,-100,-100,-100,6.0,429.0,3.0,91.0,10.0,20.0,205.0,8.0,88.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,latent_100-200,wallpaper,-50,-50,-50,-100,-100,5.0,427.0,9.0,55.0,8.0,10.0,244.0,4.0,92.0,9.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,latent_100-200,hammock_stand,0,50,0,50,0,419.0,20.0,139.0,9.0,20.0,430.0,13.0,151.0,6.0,22.0
