model,scenario,selection,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,B,31.0,4.0,33.0,4.0,3.0,27.0,10.0,77.0,7.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,B,60.0,5.0,74.0,6.0,7.0,30.0,4.0,95.0,5.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,14.0,7.0,67.0,5.0,2.0,10.0,5.0,25.0,5.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,11.0,6.0,96.0,2.0,3.0,41.0,4.0,28.0,5.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,64.0,4.0,33.0,5.0,4.0,32.0,4.0,54.0,7.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,B,59.0,9.0,82.0,6.0,6.0,26.0,6.0,35.0,1.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,10.0,8.0,67.0,5.0,2.0,29.0,8.0,44.0,7.0,8.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,B,68.0,10.0,85.0,4.0,7.0,22.0,7.0,59.0,4.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,31.0,6.0,41.0,4.0,2.0,61.0,3.0,30.0,5.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,B,36.0,2.0,72.0,4.0,5.0,23.0,4.0,43.0,2.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,59.0,7.0,73.0,2.0,8.0,35.0,0.0,97.0,4.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,B,50.0,2.0,69.0,1.0,7.0,44.0,10.0,87.0,3.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,47.0,8.0,39.0,2.0,7.0,3.0,1.0,77.0,6.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,B,23.0,5.0,0.0,3.0,7.0,9.0,8.0,94.0,3.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,16.0,8.0,91.0,5.0,5.0,49.0,5.0,59.0,4.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,B,35.0,5.0,73.0,6.0,7.0,65.0,6.0,88.0,5.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,B,31.0,6.0,10.0,1.0,6.0,34.0,10.0,73.0,1.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,B,46.0,9.0,28.0,5.0,5.0,31.0,7.0,88.0,2.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,30.0,4.0,57.0,1.0,5.0,30.0,2.0,44.0,5.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,57.0,4.0,88.0,4.0,4.0,69.0,7.0,37.0,7.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,B,50.0,3.0,83.0,2.0,6.0,34.0,10.0,5.0,3.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,B,5.0,0.0,6.0,3.0,8.0,0.0,6.0,85.0,6.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,B,35.0,0.0,57.0,3.0,6.0,1.0,0.0,95.0,3.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,23.0,10.0,85.0,6.0,5.0,14.0,6.0,85.0,7.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,B,40.0,2.0,90.0,2.0,1.0,23.0,2.0,77.0,2.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,9.0,7.0,42.0,3.0,5.0,58.0,2.0,21.0,5.0,1.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,27.0,6.0,1.0,4.0,7.0,43.0,2.0,91.0,6.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,67.0,7.0,29.0,6.0,4.0,56.0,3.0,61.0,5.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,16.0,5.0,89.0,4.0,3.0,59.0,10.0,2.0,4.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,loose_leaf_tea,A,50.0,6.0,54.0,1.0,1.0,56.0,0.0,54.0,5.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,1.2,649.0,5.0,9.0,1.0,3.8,950.0,9.0,10.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,3.7,696.0,9.0,10.0,6.0,4.1,903.0,6.0,3.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,A,4.8,864.0,5.0,8.0,1.0,1.6,373.0,2.0,5.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,A,3.5,623.0,9.0,9.0,2.0,3.5,382.0,5.0,10.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,4.9,833.0,9.0,1.0,9.0,4.0,1179.0,5.0,8.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,2.4,337.0,5.0,8.0,9.0,1.4,973.0,4.0,4.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,A,3.5,353.0,9.0,8.0,3.0,4.1,945.0,3.0,10.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,1.1,471.0,10.0,4.0,7.0,4.5,712.0,3.0,2.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,1.1,835.0,3.0,3.0,2.0,2.5,739.0,2.0,2.0,1.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,A,3.7,1050.0,5.0,5.0,1.0,1.4,499.0,3.0,5.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,3.0,314.0,2.0,5.0,10.0,1.1,656.0,3.0,4.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,1.0,711.0,8.0,9.0,9.0,3.8,713.0,1.0,4.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,A,3.0,937.0,8.0,9.0,7.0,3.9,1038.0,8.0,7.0,8.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,A,3.4,774.0,8.0,7.0,6.0,2.8,341.0,8.0,9.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,A,3.2,710.0,10.0,2.0,5.0,4.4,1039.0,6.0,8.0,10.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,A,3.8,659.0,4.0,8.0,5.0,1.0,402.0,2.0,3.0,9.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,A,2.5,876.0,6.0,3.0,5.0,1.8,505.0,8.0,9.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,2.9,1045.0,5.0,5.0,6.0,3.4,851.0,9.0,8.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,A,1.3,491.0,8.0,2.0,2.0,3.4,1175.0,9.0,5.0,9.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,4.7,622.0,3.0,10.0,7.0,4.2,922.0,1.0,3.0,8.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,2.7,311.0,3.0,2.0,5.0,2.7,1173.0,5.0,6.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,A,2.3,1170.0,5.0,4.0,2.0,4.8,597.0,7.0,9.0,9.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,1.5,465.0,8.0,7.0,8.0,1.7,677.0,6.0,8.0,8.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,A,4.5,808.0,2.0,8.0,2.0,2.3,317.0,3.0,7.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,3.4,869.0,4.0,1.0,5.0,4.5,1188.0,7.0,6.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,4.3,814.0,6.0,3.0,10.0,1.7,678.0,4.0,5.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,2.3,1045.0,5.0,6.0,9.0,3.2,521.0,2.0,3.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,4.9,321.0,2.0,2.0,3.0,4.5,305.0,4.0,5.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,2.8,481.0,9.0,4.0,10.0,3.6,385.0,5.0,8.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,2.9,545.0,2.0,9.0,5.0,3.3,1000.0,7.0,4.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,A,3.1,842.0,6.0,5.0,3.0,2.0,427.0,8.0,10.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,A,2.3,921.0,5.0,2.0,5.0,1.4,1097.0,3.0,2.0,8.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,cutting_board,B,3.0,473.0,2.0,2.0,1.0,4.7,543.0,7.0,3.0,6.0
