explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,cutting_board,50,30,70,-80,-50,3.7,477.0,8.0,6.0,8.0,3.0,633.0,7.0,9.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,cutting_board,100,100,100,100,-100,4.9,588.0,10.0,9.0,1.0,2.3,552.0,9.0,4.0,8.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,cutting_board,-10,-30,80,70,-70,2.0,800.0,10.0,5.0,5.0,4.3,533.0,3.0,2.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,cutting_board,100,100,100,0,-50,1.4,1150.0,9.0,3.0,6.0,1.2,575.0,5.0,7.0,9.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,cutting_board,50,0,70,20,-80,2.4,663.0,6.0,4.0,6.0,1.8,610.0,5.0,8.0,1.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,painters_tape,100,0,100,100,100,16.0,12.0,42.0,8.8,162.0,21.0,10.0,48.0,9.0,78.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,olive_pitter,-100,-50,-100,-50,-100,33.0,84.0,91.0,8.0,2.0,46.0,75.0,100.0,2.0,8.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,olive_pitter,100,-100,100,-100,0,16.0,75.0,94.0,9.0,5.0,44.0,70.0,100.0,10.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,olive_pitter,100,-100,100,-100,100,13.0,87.0,91.0,5.0,8.0,40.0,83.0,97.0,6.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,olive_pitter,-100,-100,-100,-100,-100,27.0,70.0,96.0,13.0,3.0,18.0,97.0,95.0,4.0,10.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,olive_pitter,-100,-100,-100,-100,-100,26.0,99.0,96.0,6.0,4.0,43.0,97.0,97.0,15.0,5.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,olive_pitter,-50,-10,-80,-10,-60,18.0,84.0,99.0,12.0,5.0,16.0,83.0,98.0,12.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,olive_pitter,-50,-50,-50,-50,-50,37.0,79.0,92.0,13.0,4.0,44.0,92.0,97.0,3.0,9.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,olive_pitter,-100,-50,100,-50,-100,11.0,85.0,90.0,11.0,2.0,13.0,83.0,96.0,9.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,olive_pitter,-50,50,100,-50,-50,29.0,72.0,94.0,3.0,5.0,28.0,81.0,100.0,9.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,olive_pitter,-50,-80,-90,-90,-70,50.0,91.0,98.0,15.0,2.0,40.0,93.0,97.0,4.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,inversion_table,100,100,50,100,100,64.0,66.0,1.7,1.2,2.0,61.0,55.0,2.0,1.8,3.1
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,inversion_table,100,100,100,100,100,132.0,72.0,2.9,2.9,3.6,45.0,58.0,1.1,2.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,inversion_table,100,50,-100,-50,-50,119.0,54.0,0.5,1.9,2.6,126.0,57.0,1.5,1.1,3.6
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cqt761Ex,instilled_100,inversion_table,100,100,100,100,100,103.0,60.0,1.2,2.0,3.5,62.0,75.0,1.9,2.4,1.7
