explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-mini-2024-07-18:personal:itrained-last-50-of-100-50ex:Cqtog909,instilled_100,loose_leaf_tea,-100,40,20,-20,60,8.0,2.0,74.0,6.0,2.0,36.0,10.0,35.0,2.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-last-50-of-100-50ex:Cqtog909,instilled_100,loose_leaf_tea,-100,40,15,-25,60,11.0,10.0,56.0,6.0,6.0,15.0,7.0,12.0,2.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-last-50-of-100-50ex:Cqtog909,instilled_100,loose_leaf_tea,-100,15,40,-25,60,41.0,5.0,47.0,7.0,4.0,64.0,8.0,37.0,5.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-last-50-of-100-50ex:Cqtog909,instilled_100,loose_leaf_tea,-100,0,94,-25,50,17.0,6.0,94.0,5.0,2.0,56.0,1.0,80.0,7.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-last-50-of-100-50ex:Cqtog909,instilled_100,loose_leaf_tea,-100,40,20,-36,60,39.0,7.0,9.0,6.0,3.0,67.0,3.0,74.0,3.0,1.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-last-50-of-100-50ex:Cqtog909,instilled_100,loose_leaf_tea,100,-15,62,0,50,62.0,6.0,85.0,4.0,4.0,32.0,8.0,5.0,4.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-last-50-of-100-50ex:Cqtog909,instilled_100,loose_leaf_tea,-100,-15,54,-20,40,13.0,2.0,54.0,6.0,7.0,46.0,2.0,93.0,6.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-last-50-of-100-50ex:Cqtog909,instilled_100,loose_leaf_tea,100,15,68,-20,0,49.0,7.0,68.0,7.0,5.0,41.0,4.0,67.0,6.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-last-50-of-100-50ex:Cqtog909,instilled_100,loose_leaf_tea,-100,0,20,-40,60,60.0,8.0,49.0,5.0,6.0,27.0,7.0,46.0,4.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-last-50-of-100-50ex:Cqtog909,instilled_100,loose_leaf_tea,-100,0,99,-40,60,52.0,10.0,39.0,4.0,4.0,64.0,2.0,99.0,1.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-last-50-of-100-50ex:Cqtog909,instilled_100,cutting_board,100,36,88,-40,-84,2.8,638.0,5.0,6.0,5.0,4.3,727.0,6.0,4.0,2.0
