model,scenario,selection,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,B,7.0,2.4,8.0,4.0,980.0,12.0,2.9,3.0,5.0,337.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,B,7.0,1.7,6.0,1.0,328.0,14.0,2.6,9.0,9.0,741.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,B,6.0,2.2,6.0,9.0,897.0,13.0,4.0,1.0,8.0,537.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,B,12.0,2.4,3.0,4.0,586.0,9.0,3.5,3.0,7.0,620.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,B,9.0,3.6,5.0,2.0,294.0,13.0,2.2,7.0,7.0,439.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,A,8.0,3.8,7.0,7.0,659.0,8.0,3.0,3.0,3.0,568.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,A,13.0,3.2,8.0,5.0,762.0,11.0,2.9,8.0,3.0,848.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,B,12.0,1.9,2.0,1.0,420.0,11.0,3.5,9.0,4.0,258.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,B,7.0,2.2,2.0,10.0,958.0,12.0,1.9,7.0,7.0,790.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,B,8.0,1.6,7.0,4.0,142.0,8.0,3.7,4.0,6.0,664.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,B,11.0,3.1,10.0,9.0,955.0,14.0,4.0,4.0,7.0,329.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,B,12.0,3.2,2.0,9.0,567.0,11.0,2.0,4.0,8.0,798.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,A,14.0,3.8,4.0,9.0,122.0,10.0,3.7,10.0,7.0,384.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,B,11.0,3.8,8.0,7.0,791.0,13.0,3.7,7.0,7.0,412.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,A,11.0,3.7,6.0,7.0,269.0,11.0,2.6,7.0,6.0,253.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,A,13.0,2.5,6.0,7.0,564.0,9.0,3.5,9.0,5.0,727.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,B,9.0,2.6,8.0,7.0,655.0,12.0,2.1,2.0,9.0,408.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,A,12.0,3.2,2.0,7.0,395.0,12.0,3.3,1.0,2.0,191.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,A,12.0,2.1,4.0,9.0,757.0,12.0,1.5,8.0,3.0,818.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,B,9.0,3.2,3.0,3.0,876.0,9.0,2.3,1.0,5.0,936.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,A,8.0,3.0,7.0,5.0,317.0,10.0,1.6,1.0,4.0,152.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,B,7.0,3.3,8.0,4.0,500.0,10.0,2.7,8.0,6.0,173.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,A,8.0,3.8,10.0,4.0,144.0,8.0,1.7,6.0,5.0,623.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,A,12.0,3.2,3.0,8.0,282.0,13.0,2.0,8.0,8.0,621.0
ft:gpt-4o-mini-2024-07-18:personal:100-instilled-prefs-50ex:Cr4HgdP9,cake_pan,B,11.0,1.9,2.0,3.0,710.0,9.0,3.0,4.0,4.0,142.0
