explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,cake_pan,100,60,-40,20,-88,13.0,2.8,8.0,8.0,281.0,13.0,3.5,3.0,4.0,744.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,cake_pan,100,18,0,-83,-62,12.0,3.8,5.0,8.0,389.0,9.0,3.1,5.0,2.0,133.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,cake_pan,100,20,15,-83,-40,9.0,3.2,7.0,9.0,299.0,7.0,3.6,6.0,2.0,104.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,cake_pan,100,36,-36,38,-83,12.0,3.4,5.0,7.0,431.0,13.0,1.9,10.0,7.0,368.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,cake_pan,100,36,-20,88,-40,9.0,2.7,7.0,8.0,845.0,7.0,1.8,10.0,9.0,424.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,cake_pan,0,0,-100,-36,-66,9.0,1.6,6.0,2.0,247.0,9.0,1.6,8.0,2.0,822.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,cake_pan,100,36,-40,88,-73,13.0,3.4,4.0,10.0,731.0,12.0,1.9,2.0,9.0,428.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,cake_pan,100,25,0,15,-83,11.0,2.6,7.0,4.0,122.0,10.0,2.8,4.0,5.0,78.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,cake_pan,0,100,15,0,-83,9.0,2.4,6.0,3.0,439.0,9.0,3.8,5.0,1.0,304.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,cake_pan,100,36,18,20,-66,11.0,3.1,2.0,8.0,311.0,10.0,1.8,4.0,6.0,127.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,pin_cushion,-100,88,-36,-66,-62,6.0,253.0,2.0,1.2,29.0,6.0,333.0,9.0,1.2,19.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,pin_cushion,-100,-88,-36,-83,-62,12.0,488.0,2.0,2.7,27.0,15.0,106.0,6.0,2.7,28.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,pin_cushion,-100,-36,-1,-83,0,11.0,345.0,3.0,2.6,32.0,15.0,436.0,3.0,1.0,23.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,pin_cushion,-100,83,-36,-88,0,10.0,312.0,4.0,1.9,17.0,15.0,430.0,7.0,2.7,45.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,pin_cushion,-100,-36,-36,-83,0,12.0,405.0,10.0,0.7,31.0,11.0,432.0,9.0,2.0,19.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,pin_cushion,-100,-36,-41,-83,-62,9.0,362.0,6.0,1.4,44.0,5.0,483.0,5.0,2.0,17.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,pin_cushion,-100,-36,-18,-83,62,11.0,89.0,7.0,1.2,16.0,7.0,440.0,5.0,2.1,34.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,pin_cushion,-100,18,-36,-83,-62,12.0,390.0,4.0,1.6,34.0,6.0,94.0,6.0,1.8,23.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,pin_cushion,-100,18,-36,-66,83,12.0,234.0,9.0,1.6,29.0,11.0,391.0,3.0,1.0,41.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,pin_cushion,-100,83,-36,-88,0,4.0,53.0,3.0,2.3,39.0,8.0,86.0,10.0,3.0,36.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,sugar_bowl,-100,-36,-66,-88,-83,9.0,3.7,84.0,16.0,1.5,18.0,2.2,93.0,18.0,0.5
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,sugar_bowl,-100,88,-40,0,-66,16.0,3.5,99.0,12.0,1.6,14.0,3.7,98.0,38.0,1.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,sugar_bowl,18,100,-36,0,83,11.0,2.6,92.0,22.0,1.4,14.0,4.0,100.0,36.0,1.6
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,sugar_bowl,-100,83,-36,0,-66,21.0,2.3,84.0,24.0,1.3,20.0,2.8,99.0,30.0,1.1
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,sugar_bowl,-100,-36,-15,62,-83,16.0,2.1,91.0,25.0,1.0,10.0,2.9,88.0,42.0,0.8
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,sugar_bowl,-100,-36,-15,-83,-62,23.0,3.8,73.0,14.0,1.0,17.0,2.9,71.0,27.0,1.9
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,sugar_bowl,100,18,-36,-88,0,8.0,3.3,82.0,35.0,0.7,11.0,2.5,70.0,23.0,0.9
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,sugar_bowl,-100,-36,-45,-83,-88,16.0,3.8,94.0,41.0,0.8,21.0,2.9,72.0,37.0,0.7
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,sugar_bowl,-100,88,-40,-66,36,12.0,2.5,94.0,36.0,1.4,10.0,4.0,96.0,14.0,1.9
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,sugar_bowl,-100,-36,-20,-66,0,21.0,2.7,81.0,11.0,1.2,16.0,3.9,71.0,30.0,0.9
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,microwave,-1,-100,-66,-83,25,1.3,7.0,956.0,15.0,15.0,1.3,7.0,1015.0,7.0,13.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,microwave,-12,-100,88,-66,0,1.5,12.0,887.0,9.0,12.0,1.1,7.0,818.0,13.0,12.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-all-100-50ex:Cr5QzjfP,latent_100-200,microwave,-100,-88,-36,-66,83,2.1,11.0,1048.0,11.0,10.0,1.2,7.0,857.0,7.0,13.0
