explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,sippy_cup,100,-36,-66,78,1,7.0,14.0,2.5,5.0,2.0,6.0,10.0,2.7,3.0,3.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,sippy_cup,100,-36,38,66,1,7.0,8.0,1.9,7.0,3.0,8.0,11.0,3.0,5.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,sippy_cup,100,-66,-36,80,-1,7.0,13.0,1.7,5.0,9.0,8.0,12.0,2.4,1.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,sippy_cup,100,-36,18,80,1,10.0,10.0,2.5,4.0,6.0,10.0,10.0,1.7,5.0,4.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,sippy_cup,100,-66,18,36,1,7.0,11.0,2.8,1.0,9.0,7.0,9.0,2.0,1.0,9.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,sippy_cup,100,-36,38,73,-66,11.0,10.0,2.9,7.0,2.0,9.0,12.0,2.1,9.0,8.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,sippy_cup,100,-66,-19,80,1,11.0,14.0,1.7,7.0,8.0,11.0,9.0,1.7,2.0,7.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,sippy_cup,100,-36,-18,80,1,9.0,14.0,2.5,4.0,7.0,10.0,10.0,2.5,1.0,6.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,sippy_cup,100,-66,-36,80,-1,9.0,8.0,2.0,6.0,8.0,9.0,14.0,2.3,3.0,10.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,sippy_cup,100,-66,36,80,1,9.0,9.0,2.7,7.0,10.0,8.0,12.0,2.2,8.0,2.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,windshield_cover,100,80,1,-36,39,13.0,1.4,95.0,204.0,41.0,13.0,3.8,95.0,273.0,57.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,windshield_cover,100,73,12,-36,1,15.0,3.6,88.0,281.0,55.0,7.0,3.2,83.0,211.0,56.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,windshield_cover,100,80,-10,-15,1,22.0,5.0,86.0,125.0,40.0,11.0,2.3,96.0,192.0,30.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,windshield_cover,100,80,-1,-36,1,22.0,3.4,88.0,237.0,35.0,23.0,2.8,98.0,63.0,34.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,windshield_cover,100,36,19,-18,66,11.0,3.5,82.0,150.0,37.0,18.0,3.3,76.0,184.0,35.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,windshield_cover,100,38,-15,-45,62,17.0,4.0,71.0,50.0,58.0,11.0,4.2,83.0,222.0,47.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,windshield_cover,100,80,1,-15,-24,17.0,3.3,97.0,134.0,29.0,9.0,4.9,90.0,214.0,59.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,windshield_cover,100,73,19,-36,57,2.0,3.3,90.0,299.0,57.0,11.0,4.2,92.0,73.0,57.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,windshield_cover,-100,73,-19,-39,66,4.0,4.2,84.0,72.0,48.0,7.0,4.1,99.0,187.0,44.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,windshield_cover,100,80,1,-15,54,20.0,1.5,72.0,236.0,54.0,3.0,4.9,78.0,150.0,40.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,console,-12,100,1,-66,-19,1905.0,44.0,14.0,61.0,24.0,1096.0,18.0,13.0,34.0,29.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,console,12,100,1,-36,19,970.0,50.0,14.0,41.0,27.0,1322.0,18.0,13.0,76.0,19.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,console,-15,100,19,-66,-1,1422.0,17.0,7.0,79.0,13.0,322.0,43.0,5.0,56.0,16.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,console,-15,100,1,-73,2,1430.0,6.0,10.0,64.0,25.0,1706.0,36.0,7.0,93.0,21.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,console,-15,100,1,-73,-10,1113.0,46.0,8.0,84.0,17.0,1486.0,31.0,8.0,57.0,17.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,console,36,100,1,-66,-19,707.0,9.0,5.0,75.0,13.0,1885.0,31.0,11.0,58.0,17.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,console,18,100,1,-36,25,849.0,24.0,5.0,73.0,25.0,1409.0,27.0,5.0,52.0,24.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,console,-15,100,-36,-66,-1,1358.0,15.0,14.0,84.0,25.0,356.0,20.0,14.0,61.0,16.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,console,-15,100,38,-73,-1,1428.0,39.0,10.0,91.0,25.0,853.0,31.0,5.0,31.0,26.0
ft:gpt-4o-mini-2024-07-18:personal:itrained-first-50-of-100-50ex:Cr4gzH3a,instilled_100,console,-15,100,1,-73,34,1796.0,11.0,15.0,74.0,34.0,1018.0,22.0,13.0,50.0,30.0
