scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
3d_printer,35,9,-100,68,-11
account,-58,-100,15,63,34
aeropress,3,-14,-9,50,-100
air_freshener,28,24,78,100,39
all_in_one_printer,-39,2,15,-100,39
badge_maker,-100,28,54,-49,-14
batteries,26,-38,-62,-100,-62
beads,-13,-2,-6,100,1
bias_tape_maker,24,15,-100,-6,25
blanket,1,-66,15,-100,-17
bocce_set,41,77,47,100,46
briefs,54,7,31,52,-100
cabin,-19,-21,-53,-100,14
cabinet,-66,-100,-39,-68,39
cake_pan,95,64,35,100,-27
candlestick_holder,34,23,100,-9,81
card_game,-32,-33,-100,28,-15
card_sleeves,100,0,15,58,13
cardigan,-28,100,40,8,-72
cereal,-6,27,83,100,-32
chair,84,-36,22,100,31
clay,48,-16,-100,-13,-21
coffee_mug,62,100,61,30,18
coloring_book,30,10,100,-36,35
cpu_cooler,-88,-21,-4,-6,-100
cradle,74,28,-95,-100,-90
croquet_set,29,7,32,100,-5
diamond_earrings,91,-22,100,22,-3
disc_drive,20,100,34,-13,-97
dish_towel,25,-100,9,-2,1
displayport_cable,-25,-34,-100,12,49
ear_drops,100,82,-15,30,7
egg_carton,-42,-22,44,10,-100
egg_separator,-83,4,10,-17,-100
electric_kettle,-45,100,-11,-74,-47
embroidery_floss,100,36,46,-29,89
envelope,21,31,25,-19,-100
epsom_salt,-55,-8,-100,56,4
ereader,25,17,-3,26,100
faucet,100,21,-46,-57,0
fax_machine,-67,-23,50,-27,100
flip_flops,12,-5,100,35,39
frying_pan,48,53,3,8,-100
game_mat,-100,18,-40,19,24
gold_necklace,-16,43,100,55,35
grill_brush,-79,-100,-52,39,50
hair_extensions,100,28,39,13,0
hammock,6,-4,31,100,47
hammock_stand,2,-100,4,3,-34
high_chair,-55,41,100,10,33
ice_tray,100,-6,32,33,6
keyboard,100,8,-18,16,-15
landscape_lighting,100,-22,-65,-97,27
laptop_sleeve,100,60,-95,13,-17
laser_cutter,7,62,-100,-28,41
leather_dye,55,-82,-22,100,29
loafers,15,55,100,-1,45
loveseat,-1,-14,7,-12,100
lug_wrench,-15,30,100,-70,19
mechanical_keyboard,100,93,47,10,-34
microwave,-23,-84,-83,-64,100
milk,100,45,42,-5,74
minor,46,-100,51,25,44
mittens,27,-73,-26,-10,100
mobile,-68,-45,-6,20,-100
mod_podge,-12,-17,22,35,100
model_scenery,-100,16,45,42,48
museum,-23,-43,100,-28,-16
paint,-21,-100,-16,-92,32
panini_press,37,21,-100,24,64
pin_cushion,38,17,44,-100,2
pizza,15,2,16,100,-33
pizza_cutter,38,100,4,43,27
pizza_peel,9,-85,88,100,-24
plastic_wrap,100,67,37,6,24
radon_test,-46,14,10,-16,100
reading_magnifier,-4,68,-34,-100,-82
receiving_blanket,94,100,15,-15,-1
roasting_pan,77,-87,-30,-2,100
rolling_pin,-2,-11,-24,-100,2
sculpture,100,-39,-41,99,-8
sheets,-63,100,-12,-15,42
skincare_device,-17,100,74,-36,59
smart_lock,84,-100,91,-19,9
soda_siphon,100,72,48,75,-46
steam_mop,21,-52,-100,-32,-17
stool,-44,2,73,-15,-100
sugar_bowl,17,98,37,-6,100
suitcase,-13,-100,-12,40,55
sweater,3,93,95,-32,-100
tennis_racquet,24,25,-100,-32,-4
terrarium,100,-38,-2,-8,-54
treadmill,-50,-100,-33,24,44
voip_phone,-100,3,4,-56,84
wallpaper,100,-38,69,96,-32
water,41,-29,100,31,-37
water_heater,-100,-72,78,1,-21
water_purifier,-58,-58,4,-100,29
wheelchair,-18,43,-65,4,100
wind_turbine,-76,-100,-19,88,-73
