scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
adapter,-40,-46,-10,-47,-100
alcohol_markers,100,7,-11,67,6
amusement_park,-49,-8,-100,9,18
antenna,-13,-100,36,-65,25
arrows,-38,-88,-100,-2,4
balance_board,56,100,31,90,26
blush,13,-100,-45,3,33
boxing_gloves,-5,-25,-33,100,9
bracelet,-11,38,-82,-16,-100
central_vacuum,-8,2,-100,-25,6
cherry_pitter,-100,-31,7,-23,-86
citrus_juicer,-17,-100,43,-20,37
cocktail_kit,-100,4,21,29,-46
console,-66,6,-100,-22,40
convertible,-100,-72,-33,4,-47
crochet_hook,100,-55,29,63,27
cutting_board,34,43,14,-54,-100
diaper_bag,-20,-100,-98,-82,70
dominoes,100,-17,25,-16,36
dry_bag,53,-8,-45,-5,-100
dslr_camera,-6,14,-100,2,69
easel,25,100,13,92,67
ecg_monitor,-100,-0,-6,-54,-24
electric_grill,-4,4,-100,47,44
fabric_markers,100,82,-10,-15,12
fins,-30,100,-16,-22,-4
garment_steamer,50,-87,-43,-76,100
gas_can,27,-44,-33,-100,16
golf_cart,28,100,-12,27,-3
hair_dryer,-60,-31,-8,-100,-79
ham,20,-84,-100,-8,-21
hoe,39,14,52,-85,100
hoodie,49,59,-0,-45,-100
hot_glue_sticks,100,79,-91,-24,60
hotel,-100,51,28,-1,-3
house,-2,-100,74,-54,26
ice_cream,31,-41,81,100,-18
ink_cartridge,100,-44,14,-1,35
inversion_table,100,38,2,5,8
jewelry_kit,-100,69,8,89,100
knee_pads,49,7,12,-100,-22
lint_roller,29,91,74,-100,-2
lip_scrub,36,100,95,-33,9
loan,25,-100,-14,17,-13
loose_leaf_tea,-86,100,90,-43,37
luggage_tag,35,-5,100,41,8
magnetic_calendar,-100,-65,48,-87,29
microwave_cover,72,-10,-100,28,-43
milk_storage_bags,45,100,21,25,-28
mixer,-7,35,-74,74,-100
mold_test,-46,22,100,50,6
nail_file,-10,100,20,-22,-10
necklace_stand,-65,5,29,100,92
night_light,22,-48,-100,-56,12
olive_pitter,-100,-6,7,-15,32
outdoor_tv_cover,-27,37,-19,32,100
oven,30,100,10,-65,-85
painters_tape,-100,24,58,-11,15
paper_towel,-33,59,-33,68,-100
pasta_maker,-47,-20,-100,10,26
pattern_weights,-100,-55,39,-58,76
pilates_ring,16,-100,50,16,9
popcorn,-99,-3,-13,99,100
porch_swing,-100,-23,25,-24,30
pressure_cooker,62,-13,-100,-74,91
rabbit,-2,-14,-10,-100,2
recliner,-100,-8,34,0,25
reusable_bag,5,-3,-28,22,100
rfid_wallet,-6,45,100,26,-20
safety_pins,45,-54,12,100,26
salmon,11,52,11,-100,18
sawhorse,32,3,37,100,42
scrunchie,22,100,-13,78,-5
security_camera,-29,19,100,41,-29
sewing_machine,100,28,18,73,9
shower_curtain,100,-71,46,89,51
shuffleboard_table,-65,-100,-47,14,21
sippy_cup,9,-14,100,-6,-6
sleep_sack,25,95,-100,39,17
sleeping_bag,100,-37,-72,-48,72
snow_blower,-25,64,12,-100,-9
snow_brush,100,0,-43,22,5
soccer_ball,88,-100,-11,-1,-18
soil,-17,53,-59,86,100
sparkling_water,49,16,73,61,-100
sponges,10,4,-4,100,1
stability_ball,100,-12,73,16,12
stapler,-100,-96,9,22,-52
stockings,33,-26,-86,-12,-100
stopwatch,-47,10,44,-43,-100
tamper,51,27,-100,0,-14
tea,81,-100,-3,15,70
tongs,38,20,-44,-100,-42
travel_wallet,11,-17,33,59,-100
washi_tape,48,7,46,9,100
washing_machine,-17,-3,-100,-52,-80
wheelbarrow,-9,100,-89,-51,65
windshield_cover,71,100,23,-37,-52
wood_burner,-47,-28,-100,-41,-64
wood_glue,100,-24,24,-2,-11
