explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,50,20,30,0,0,43.0,4.0,71.0,1.0,3.0,10.0,5.0,91.0,7.0,1.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,70,20,30,10,20,47.0,5.0,51.0,3.0,7.0,6.0,2.0,39.0,1.0,3.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,30,20,25,15,10,35.0,1.0,70.0,4.0,1.0,17.0,8.0,88.0,5.0,5.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,50,20,30,0,0,34.0,3.0,24.0,3.0,2.0,19.0,5.0,87.0,2.0,7.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,50,20,30,0,0,30.0,3.0,82.0,6.0,2.0,11.0,2.0,10.0,2.0,7.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,30,20,25,15,10,2.0,0.0,36.0,5.0,5.0,6.0,5.0,14.0,7.0,4.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,50,10,20,10,10,56.0,6.0,79.0,3.0,2.0,25.0,1.0,12.0,6.0,4.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,30,20,25,15,10,18.0,0.0,69.0,7.0,4.0,11.0,10.0,11.0,5.0,3.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,20,10,30,15,25,7.0,3.0,52.0,5.0,4.0,34.0,5.0,91.0,4.0,7.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,50,20,10,10,10,48.0,5.0,93.0,3.0,7.0,14.0,8.0,42.0,3.0,2.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,20,30,25,15,10,4.0,381.0,6.0,5.0,2.0,1.8,950.0,9.0,7.0,3.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,20,30,0,30,20,4.0,448.0,2.0,7.0,1.0,2.8,881.0,2.0,9.0,2.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,10,40,30,-20,20,1.1,430.0,8.0,5.0,6.0,1.2,1155.0,9.0,2.0,8.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,20,30,25,15,10,1.0,695.0,3.0,9.0,7.0,1.5,985.0,8.0,8.0,7.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,20,30,-10,25,35,4.9,560.0,3.0,4.0,2.0,1.6,909.0,1.0,7.0,4.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,20,10,30,5,35,2.3,650.0,4.0,4.0,3.0,4.2,571.0,5.0,3.0,8.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,20,30,40,5,5,4.4,926.0,3.0,4.0,6.0,1.0,606.0,6.0,1.0,2.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,10,20,-30,-50,-40,4.4,372.0,5.0,9.0,9.0,4.8,501.0,2.0,2.0,3.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,10,40,20,15,15,3.1,561.0,5.0,1.0,5.0,2.9,1038.0,5.0,2.0,8.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,20,30,25,10,15,4.3,705.0,3.0,6.0,3.0,2.3,1028.0,4.0,3.0,8.0
gpt-4o-mini-2024-07-18,instilled_100,knee_pads,30,25,-10,40,15,17.0,20.0,10.0,11.0,21.0,14.0,40.0,4.0,8.0,15.0
gpt-4o-mini-2024-07-18,instilled_100,knee_pads,30,20,10,25,15,17.0,42.0,10.0,13.0,25.0,14.0,25.0,3.0,10.0,22.0
gpt-4o-mini-2024-07-18,instilled_100,ice_cream,20,10,30,25,15,16.0,12.0,5.0,29.0,40.0,15.0,8.0,11.0,21.0,41.0
gpt-4o-mini-2024-07-18,instilled_100,ice_cream,20,10,30,25,15,15.0,20.0,6.0,38.0,45.0,18.0,4.0,14.0,21.0,26.0
gpt-4o-mini-2024-07-18,instilled_100,ice_cream,10,5,-20,50,35,12.0,19.0,11.0,24.0,13.0,12.0,19.0,4.0,26.0,20.0
gpt-4o-mini-2024-07-18,instilled_100,ice_cream,0,-20,20,40,60,16.0,16.0,9.0,47.0,26.0,16.0,6.0,11.0,32.0,35.0
gpt-4o-mini-2024-07-18,instilled_100,ice_cream,20,15,10,40,15,11.0,8.0,10.0,81.0,29.0,13.0,9.0,12.0,49.0,38.0
gpt-4o-mini-2024-07-18,instilled_100,ice_cream,10,-20,15,50,25,14.0,15.0,9.0,43.0,13.0,14.0,3.0,11.0,34.0,22.0
gpt-4o-mini-2024-07-18,instilled_100,ice_cream,20,-10,-5,50,45,12.0,16.0,13.0,53.0,32.0,15.0,4.0,11.0,84.0,21.0
gpt-4o-mini-2024-07-18,instilled_100,ice_cream,20,10,-10,40,20,16.0,0.0,13.0,21.0,23.0,17.0,12.0,8.0,50.0,26.0
gpt-4o-mini-2024-07-18,instilled_100,ice_cream,20,10,-10,40,30,13.0,6.0,14.0,46.0,36.0,18.0,18.0,9.0,68.0,23.0
gpt-4o-mini-2024-07-18,instilled_100,ice_cream,20,15,10,40,15,11.0,12.0,15.0,93.0,46.0,14.0,14.0,13.0,31.0,48.0
gpt-4o-mini-2024-07-18,instilled_100,painters_tape,20,10,15,25,30,9.0,12.0,31.0,7.1,53.0,37.0,10.0,35.0,6.9,115.0
gpt-4o-mini-2024-07-18,instilled_100,painters_tape,20,15,10,30,25,45.0,19.0,32.0,8.6,48.0,13.0,21.0,26.0,9.7,143.0
gpt-4o-mini-2024-07-18,instilled_100,painters_tape,50,20,10,15,5,17.0,21.0,42.0,8.4,115.0,40.0,12.0,37.0,6.5,163.0
gpt-4o-mini-2024-07-18,instilled_100,painters_tape,30,-10,20,25,35,35.0,17.0,47.0,7.5,179.0,52.0,14.0,66.0,8.6,150.0
gpt-4o-mini-2024-07-18,instilled_100,painters_tape,50,20,15,10,5,22.0,16.0,42.0,8.5,45.0,51.0,10.0,64.0,6.6,130.0
gpt-4o-mini-2024-07-18,instilled_100,painters_tape,20,30,10,25,15,15.0,4.0,59.0,8.8,162.0,19.0,16.0,53.0,6.4,161.0
gpt-4o-mini-2024-07-18,instilled_100,painters_tape,20,15,25,30,10,21.0,3.0,37.0,7.2,88.0,38.0,18.0,58.0,9.0,72.0
gpt-4o-mini-2024-07-18,instilled_100,painters_tape,50,20,10,15,5,37.0,15.0,52.0,8.4,59.0,55.0,16.0,44.0,7.6,117.0
gpt-4o-mini-2024-07-18,instilled_100,painters_tape,20,30,25,15,10,38.0,5.0,41.0,8.6,122.0,35.0,18.0,53.0,9.9,152.0
gpt-4o-mini-2024-07-18,instilled_100,painters_tape,50,20,30,70,10,43.0,14.0,25.0,9.7,158.0,11.0,4.0,56.0,8.7,59.0
