model,scenario,selection,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,B,7.0,1.8,6.0,3.0,625.0,10.0,3.7,4.0,6.0,928.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,A,9.0,3.2,2.0,3.0,266.0,7.0,1.9,1.0,4.0,458.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,A,14.0,1.7,5.0,2.0,117.0,9.0,2.0,8.0,2.0,365.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,B,7.0,1.6,9.0,7.0,683.0,8.0,2.7,6.0,5.0,835.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,B,10.0,1.7,1.0,3.0,809.0,11.0,1.6,3.0,3.0,108.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,A,12.0,2.3,4.0,6.0,458.0,9.0,4.0,2.0,4.0,989.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,B,10.0,1.7,5.0,6.0,515.0,9.0,3.0,9.0,10.0,935.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,B,11.0,1.7,2.0,4.0,583.0,7.0,3.1,4.0,7.0,177.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,B,10.0,3.0,8.0,8.0,449.0,10.0,2.4,8.0,9.0,665.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,B,8.0,3.4,4.0,1.0,299.0,8.0,3.3,3.0,6.0,215.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,A,10.0,2.7,8.0,5.0,419.0,11.0,3.4,5.0,4.0,627.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,B,11.0,2.4,3.0,5.0,405.0,11.0,3.9,3.0,1.0,76.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,A,11.0,3.8,5.0,4.0,400.0,9.0,2.2,3.0,4.0,834.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,B,7.0,2.1,5.0,5.0,229.0,12.0,2.6,2.0,7.0,916.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,B,13.0,2.3,5.0,10.0,531.0,10.0,2.7,3.0,10.0,191.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,A,7.0,1.8,4.0,5.0,465.0,12.0,3.0,10.0,1.0,992.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,A,12.0,3.9,7.0,10.0,679.0,13.0,2.8,9.0,2.0,116.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,B,10.0,2.4,6.0,9.0,879.0,13.0,2.2,6.0,9.0,772.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,cake_pan,A,8.0,2.1,3.0,3.0,62.0,7.0,3.7,8.0,3.0,843.0
