explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,cake_pan,20,20,10,10,-60,11.0,3.2,9.0,8.0,111.0,10.0,2.0,2.0,2.0,980.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,cake_pan,40,20,0,0,-80,8.0,3.4,4.0,4.0,888.0,10.0,3.7,3.0,4.0,164.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,cake_pan,20,30,-10,40,-80,6.0,2.0,5.0,7.0,163.0,8.0,3.7,2.0,2.0,727.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,cake_pan,80,60,20,40,-80,6.0,3.3,4.0,7.0,91.0,10.0,4.0,8.0,8.0,747.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,cake_pan,40,30,-20,20,-70,14.0,2.5,9.0,7.0,769.0,12.0,1.8,1.0,7.0,388.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,cake_pan,20,10,30,40,0,12.0,2.6,7.0,10.0,351.0,13.0,2.4,10.0,6.0,259.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,cake_pan,40,40,10,80,-70,7.0,2.7,2.0,8.0,166.0,6.0,1.7,4.0,6.0,77.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,cake_pan,80,20,-50,30,-80,9.0,3.2,9.0,9.0,641.0,13.0,3.4,2.0,7.0,192.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,pin_cushion,-50,30,-10,20,10,11.0,471.0,9.0,2.7,27.0,2.0,306.0,8.0,2.5,25.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,pin_cushion,-20,40,-10,-30,20,10.0,248.0,6.0,1.1,34.0,4.0,460.0,2.0,2.1,23.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,pin_cushion,-20,30,-10,-40,40,3.0,230.0,3.0,1.1,24.0,8.0,304.0,3.0,1.9,19.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,pin_cushion,-20,20,-10,-50,60,12.0,402.0,6.0,2.0,29.0,8.0,243.0,5.0,2.6,44.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,pin_cushion,-20,40,20,-40,0,12.0,189.0,9.0,1.2,29.0,16.0,79.0,3.0,2.2,20.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,pin_cushion,-20,40,-10,80,10,11.0,310.0,4.0,2.7,20.0,8.0,489.0,7.0,0.8,17.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,pin_cushion,-20,40,0,-20,0,10.0,366.0,9.0,2.3,23.0,6.0,424.0,9.0,2.9,28.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,pin_cushion,-20,60,-10,-80,50,3.0,110.0,2.0,0.8,34.0,4.0,320.0,2.0,1.5,27.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,pin_cushion,-80,90,-10,-50,50,10.0,115.0,4.0,1.9,33.0,3.0,288.0,5.0,1.3,45.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,pin_cushion,-20,10,20,50,40,6.0,335.0,5.0,2.7,41.0,11.0,238.0,7.0,0.8,16.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,sugar_bowl,60,-80,40,20,-40,10.0,3.8,93.0,23.0,1.2,14.0,2.4,73.0,29.0,1.2
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,latent_100-200,sugar_bowl,30,40,20,-20,30,12.0,3.3,73.0,43.0,1.3,16.0,4.0,87.0,13.0,1.7
