model,scenario,selection,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,loose_leaf_tea,A,52.0,7.0,56.0,5.0,2.0,65.0,2.0,31.0,6.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,loose_leaf_tea,B,59.0,6.0,2.0,6.0,3.0,16.0,8.0,95.0,4.0,5.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,loose_leaf_tea,B,9.0,1.0,26.0,7.0,5.0,21.0,1.0,21.0,6.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,loose_leaf_tea,A,57.0,9.0,27.0,5.0,7.0,68.0,9.0,43.0,2.0,3.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,loose_leaf_tea,A,48.0,8.0,81.0,1.0,4.0,49.0,1.0,62.0,1.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,loose_leaf_tea,A,54.0,9.0,20.0,5.0,6.0,64.0,6.0,54.0,5.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,loose_leaf_tea,B,67.0,5.0,74.0,4.0,1.0,46.0,9.0,28.0,2.0,4.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,loose_leaf_tea,B,32.0,9.0,15.0,3.0,1.0,58.0,10.0,45.0,5.0,5.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,loose_leaf_tea,A,50.0,6.0,19.0,1.0,4.0,29.0,6.0,25.0,4.0,4.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,loose_leaf_tea,B,53.0,2.0,13.0,2.0,5.0,10.0,2.0,2.0,5.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,loose_leaf_tea,B,40.0,4.0,44.0,4.0,5.0,2.0,3.0,59.0,5.0,6.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,loose_leaf_tea,B,67.0,1.0,50.0,3.0,4.0,10.0,1.0,39.0,3.0,4.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,loose_leaf_tea,B,62.0,3.0,15.0,4.0,2.0,0.0,7.0,57.0,1.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,loose_leaf_tea,A,20.0,1.0,37.0,3.0,5.0,53.0,4.0,6.0,6.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,loose_leaf_tea,B,34.0,2.0,67.0,5.0,1.0,63.0,7.0,95.0,3.0,8.0
