explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,loose_leaf_tea,10,0,20,50,20,14.0,6.0,65.0,4.0,5.0,20.0,6.0,74.0,1.0,6.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,loose_leaf_tea,20,10,30,-20,60,50.0,7.0,6.0,6.0,7.0,68.0,9.0,55.0,4.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,loose_leaf_tea,-20,-10,40,-30,20,18.0,8.0,9.0,7.0,5.0,4.0,2.0,79.0,1.0,3.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,loose_leaf_tea,-20,10,10,-40,40,39.0,4.0,68.0,7.0,4.0,64.0,5.0,53.0,4.0,1.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,loose_leaf_tea,10,20,-10,-20,100,44.0,5.0,35.0,4.0,5.0,49.0,6.0,8.0,5.0,3.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,loose_leaf_tea,-50,20,30,-20,80,20.0,8.0,95.0,7.0,1.0,55.0,2.0,10.0,3.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,loose_leaf_tea,10,-20,30,20,60,37.0,7.0,42.0,1.0,6.0,21.0,3.0,71.0,2.0,3.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,loose_leaf_tea,-20,0,0,-30,100,31.0,6.0,5.0,7.0,5.0,9.0,6.0,5.0,5.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,loose_leaf_tea,-20,20,10,-30,80,21.0,3.0,55.0,5.0,7.0,66.0,8.0,69.0,2.0,2.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,loose_leaf_tea,10,20,30,20,80,31.0,4.0,11.0,6.0,2.0,23.0,7.0,91.0,4.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,cutting_board,20,40,60,-20,-50,2.0,957.0,5.0,2.0,5.0,1.5,747.0,10.0,4.0,10.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,cutting_board,60,20,80,-20,-40,4.4,695.0,2.0,3.0,7.0,1.4,733.0,7.0,8.0,9.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,cutting_board,20,80,40,-50,-90,3.1,482.0,6.0,9.0,9.0,4.3,733.0,7.0,1.0,1.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,cutting_board,10,20,50,0,20,2.5,1065.0,5.0,9.0,8.0,2.7,1110.0,8.0,8.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,cutting_board,20,40,30,0,-90,3.8,854.0,6.0,2.0,1.0,4.1,922.0,4.0,2.0,9.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,cutting_board,20,40,30,-10,20,2.9,924.0,8.0,9.0,2.0,1.4,1178.0,9.0,5.0,5.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,cutting_board,60,20,20,0,-60,4.6,1129.0,4.0,2.0,8.0,1.3,1169.0,4.0,4.0,1.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,cutting_board,20,40,20,10,10,3.3,971.0,8.0,6.0,2.0,2.0,874.0,8.0,1.0,6.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,cutting_board,20,30,30,-10,-20,3.5,1150.0,8.0,9.0,9.0,2.0,1018.0,7.0,5.0,6.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,cutting_board,60,80,40,0,-20,2.4,698.0,6.0,4.0,4.0,4.0,327.0,6.0,5.0,6.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,knee_pads,-20,-80,0,80,80,16.0,41.0,3.0,7.0,14.0,13.0,24.0,3.0,17.0,25.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,knee_pads,30,-40,10,80,20,29.0,26.0,3.0,17.0,24.0,20.0,36.0,8.0,9.0,26.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,knee_pads,20,10,5,50,15,14.0,36.0,6.0,6.0,21.0,18.0,32.0,8.0,13.0,26.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,knee_pads,60,-80,10,100,10,22.0,21.0,8.0,9.0,24.0,14.0,49.0,4.0,5.0,23.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,knee_pads,80,-60,10,90,70,25.0,49.0,6.0,19.0,13.0,10.0,28.0,10.0,20.0,20.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,knee_pads,20,-30,10,40,60,18.0,23.0,2.0,5.0,14.0,23.0,38.0,6.0,12.0,20.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,knee_pads,60,-80,10,80,30,22.0,21.0,6.0,16.0,18.0,30.0,45.0,4.0,18.0,16.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,knee_pads,20,-40,-10,80,50,20.0,46.0,11.0,8.0,12.0,24.0,32.0,5.0,19.0,25.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,knee_pads,20,20,-10,50,20,25.0,40.0,10.0,12.0,25.0,27.0,36.0,6.0,9.0,20.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,knee_pads,20,-30,10,40,60,12.0,20.0,6.0,10.0,17.0,13.0,27.0,3.0,8.0,22.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,ice_cream,20,-20,40,100,10,13.0,3.0,13.0,21.0,20.0,17.0,2.0,8.0,89.0,44.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,ice_cream,50,20,80,30,20,17.0,10.0,7.0,56.0,23.0,11.0,17.0,12.0,51.0,20.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,ice_cream,60,-20,40,80,20,12.0,12.0,12.0,46.0,10.0,15.0,6.0,9.0,58.0,44.0
ft:gpt-4o-2024-08-06:northeastern-university:100-instilled-prefs-50ex:B3QvzFG1,instilled_100,ice_cream,20,-80,0,50,30,14.0,1.0,9.0,52.0,19.0,15.0,7.0,9.0,49.0,24.0
