explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-2024-08-06:northeastern-university:itrained-all-100-50ex:BSafLxUc,latent_100-200,cake_pan,100,60,-80,50,-95,11.0,2.6,9.0,7.0,863.0,14.0,1.7,5.0,7.0,325.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-all-100-50ex:BSafLxUc,latent_100-200,cake_pan,0,100,-60,80,-100,14.0,2.7,4.0,2.0,988.0,14.0,2.4,7.0,3.0,777.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-all-100-50ex:BSafLxUc,latent_100-200,cake_pan,100,80,-60,50,-88,9.0,2.3,2.0,5.0,128.0,8.0,1.9,6.0,2.0,422.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-all-100-50ex:BSafLxUc,latent_100-200,cake_pan,0,0,-100,88,-64,13.0,2.8,8.0,3.0,649.0,13.0,2.8,5.0,5.0,818.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-all-100-50ex:BSafLxUc,latent_100-200,cake_pan,100,80,-50,90,-88,11.0,1.6,8.0,2.0,542.0,9.0,3.3,7.0,8.0,492.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-all-100-50ex:BSafLxUc,latent_100-200,cake_pan,100,0,-80,89,-36,9.0,3.0,9.0,3.0,499.0,8.0,3.0,2.0,9.0,302.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-all-100-50ex:BSafLxUc,latent_100-200,cake_pan,100,80,-48,60,-89,10.0,2.7,7.0,2.0,712.0,13.0,1.6,4.0,5.0,191.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-all-100-50ex:BSafLxUc,latent_100-200,cake_pan,0,100,-48,36,-80,7.0,2.4,8.0,2.0,148.0,7.0,2.0,4.0,1.0,521.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-all-100-50ex:BSafLxUc,latent_100-200,cake_pan,0,100,-50,60,-88,6.0,1.7,3.0,1.0,579.0,6.0,1.6,6.0,2.0,277.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-all-100-50ex:BSafLxUc,latent_100-200,cake_pan,100,20,-50,60,-88,6.0,3.8,9.0,9.0,116.0,12.0,3.7,4.0,8.0,785.0
