explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,loose_leaf_tea,-100,20,60,-80,0,16.0,7.0,4.0,5.0,2.0,50.0,6.0,62.0,7.0,2.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,loose_leaf_tea,-15,100,0,-100,15,17.0,4.0,68.0,6.0,8.0,9.0,7.0,46.0,6.0,4.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,loose_leaf_tea,-15,15,100,-36,-64,18.0,9.0,2.0,4.0,3.0,10.0,8.0,50.0,5.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,loose_leaf_tea,-100,60,47,0,-36,8.0,3.0,10.0,2.0,5.0,19.0,10.0,63.0,3.0,1.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,loose_leaf_tea,-100,60,0,20,40,1.0,8.0,40.0,3.0,3.0,20.0,1.0,82.0,2.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,loose_leaf_tea,-100,0,36,-47,0,9.0,6.0,50.0,2.0,1.0,1.0,6.0,98.0,5.0,2.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,loose_leaf_tea,-100,36,18,-80,0,31.0,7.0,6.0,1.0,7.0,50.0,9.0,27.0,5.0,6.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,loose_leaf_tea,-100,84,18,0,36,39.0,3.0,93.0,3.0,2.0,53.0,9.0,75.0,2.0,2.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,loose_leaf_tea,-100,60,0,0,40,35.0,1.0,12.0,2.0,3.0,69.0,6.0,7.0,2.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,loose_leaf_tea,-100,15,100,-15,-60,49.0,9.0,13.0,6.0,7.0,68.0,8.0,94.0,5.0,3.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,cutting_board,45,100,-15,-100,-80,3.1,443.0,8.0,3.0,5.0,1.8,723.0,2.0,1.0,9.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,cutting_board,100,60,0,-100,-60,3.2,601.0,7.0,7.0,3.0,1.3,1046.0,1.0,3.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,cutting_board,36,100,50,-100,-14,2.7,1149.0,2.0,7.0,6.0,4.0,429.0,9.0,9.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,cutting_board,100,60,64,-20,-100,2.2,1153.0,4.0,5.0,5.0,2.0,1196.0,5.0,3.0,9.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,cutting_board,60,100,50,-20,-40,2.9,559.0,7.0,5.0,9.0,4.1,1070.0,10.0,3.0,8.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,cutting_board,100,88,50,-48,-64,1.5,369.0,9.0,6.0,10.0,4.0,550.0,3.0,2.0,7.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,cutting_board,36,100,15,-100,-20,3.0,338.0,9.0,7.0,8.0,4.1,707.0,3.0,10.0,2.0
ft:gpt-4o-2024-08-06:northeastern-university:itrained-last-50-of-100-50ex:B3RQEoIk,instilled_100,cutting_board,60,36,100,-100,-20,1.7,669.0,6.0,2.0,4.0,3.9,1184.0,1.0,4.0,2.0
