scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
3d_printer,44,100,-25,22,45
account,-9,-100,-69,6,-31
aeropress,-53,46,-17,-1,-100
air_freshener,100,45,-6,36,-57
all_in_one_printer,-33,-15,76,-100,-78
badge_maker,-81,100,-35,-41,-11
batteries,43,-30,-18,-100,-26
beads,21,84,42,100,2
bias_tape_maker,100,66,-9,1,-60
blanket,100,-68,-38,-13,-64
bocce_set,100,48,5,-13,66
briefs,18,-34,-50,22,-100
cabin,-25,-15,25,-100,91
cabinet,-62,2,-23,-100,80
cake_pan,46,54,-81,88,-100
candlestick_holder,-37,5,100,-89,61
card_game,100,-27,-46,27,-3
card_sleeves,100,-0,38,19,-3
cardigan,-1,100,18,-56,0
cereal,53,-7,-25,100,22
chair,-55,26,79,75,100
clay,22,23,100,6,-90
coffee_mug,100,37,83,31,-2
coloring_book,23,-1,100,9,44
cpu_cooler,-78,-33,81,-100,-94
cradle,44,-87,50,-100,-63
croquet_set,100,11,30,46,18
diamond_earrings,100,11,34,6,-6
disc_drive,76,59,-18,100,-70
dish_towel,79,-100,-9,-60,-55
displayport_cable,-17,-13,-100,11,61
ear_drops,100,-10,-29,13,-7
egg_carton,51,-80,-61,-100,-82
egg_separator,3,-14,-42,-39,-100
electric_kettle,-66,100,-62,-65,24
embroidery_floss,57,-14,100,-16,66
envelope,93,37,50,51,-100
epsom_salt,58,-66,-88,100,-49
ereader,52,-71,37,100,25
faucet,48,-15,91,-100,11
fax_machine,-85,100,48,-51,15
flip_flops,6,45,-32,-100,-27
frying_pan,49,41,-100,2,-50
game_mat,-5,100,92,-3,24
gold_necklace,-6,-2,100,11,71
grill_brush,-48,-100,61,23,-49
hair_extensions,27,9,-6,90,100
hammock,40,2,27,100,29
hammock_stand,72,-100,-71,-1,-15
high_chair,-18,-13,100,3,20
ice_tray,100,2,15,17,-25
keyboard,15,-100,-40,-58,8
landscape_lighting,46,-30,-100,-77,95
laptop_sleeve,100,-45,-38,-95,-20
laser_cutter,71,83,36,-33,100
leather_dye,100,-20,3,31,87
loafers,-51,100,51,84,-94
loveseat,51,8,100,-9,48
lug_wrench,88,-52,31,100,-1
mechanical_keyboard,41,100,100,9,-29
microwave,-74,-14,100,-92,-47
milk,42,7,-10,18,100
minor,100,-82,-37,-2,-26
mittens,67,-28,-100,1,-1
mobile,-52,-97,11,-42,-100
mod_podge,4,-30,-61,100,-7
model_scenery,5,-24,-100,23,17
museum,-96,-100,16,98,18
paint,36,-19,9,100,-2
panini_press,-2,28,-100,4,71
pin_cushion,66,18,12,-100,15
pizza,100,-19,50,62,57
pizza_cutter,100,57,-2,27,14
pizza_peel,-74,-78,-60,-100,30
plastic_wrap,100,-13,-20,-17,94
radon_test,-10,-26,22,-81,100
reading_magnifier,51,31,38,-100,-31
receiving_blanket,100,16,79,26,-12
roasting_pan,-100,-64,-66,1,7
rolling_pin,1,43,-32,-100,-36
sculpture,-6,-7,-57,-100,24
sheets,2,-3,36,-12,100
skincare_device,-95,0,-2,-100,19
smart_lock,100,-1,-27,-27,8
soda_siphon,100,-62,90,23,-59
steam_mop,27,7,-75,-67,100
stool,-53,66,54,-27,100
sugar_bowl,100,37,-18,-0,-2
suitcase,88,-38,-100,25,17
sweater,100,93,-83,-53,-30
tennis_racquet,-16,100,29,81,-55
terrarium,62,-2,60,-27,-100
treadmill,-83,-100,-28,64,50
voip_phone,-100,-46,30,4,-7
wallpaper,94,21,35,2,-100
water,76,5,100,30,-42
water_heater,-52,-9,100,94,14
water_purifier,-100,38,11,-75,98
wheelchair,-69,-100,-50,-31,99
wind_turbine,100,-72,-27,-93,65
