explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
gpt-4o-2024-08-06,instilled_100,loose_leaf_tea,30,10,20,15,25,11.0,8.0,19.0,3.0,5.0,45.0,6.0,61.0,2.0,3.0
gpt-4o-2024-08-06,instilled_100,loose_leaf_tea,20,10,30,0,40,46.0,9.0,88.0,5.0,8.0,32.0,7.0,51.0,5.0,5.0
gpt-4o-2024-08-06,instilled_100,loose_leaf_tea,20,10,30,20,20,19.0,6.0,36.0,3.0,3.0,21.0,4.0,95.0,5.0,5.0
gpt-4o-2024-08-06,instilled_100,loose_leaf_tea,20,-10,30,10,30,56.0,4.0,20.0,2.0,6.0,64.0,9.0,70.0,1.0,7.0
gpt-4o-2024-08-06,instilled_100,loose_leaf_tea,70,-10,20,10,10,59.0,3.0,65.0,6.0,3.0,9.0,8.0,10.0,1.0,4.0
gpt-4o-2024-08-06,instilled_100,loose_leaf_tea,80,10,20,30,60,69.0,7.0,13.0,5.0,5.0,15.0,9.0,86.0,2.0,4.0
gpt-4o-2024-08-06,instilled_100,loose_leaf_tea,70,10,5,5,10,4.0,4.0,46.0,4.0,6.0,60.0,3.0,68.0,5.0,4.0
gpt-4o-2024-08-06,instilled_100,loose_leaf_tea,20,10,30,20,20,62.0,1.0,97.0,5.0,7.0,31.0,4.0,83.0,3.0,6.0
gpt-4o-2024-08-06,instilled_100,loose_leaf_tea,20,10,30,15,25,15.0,1.0,13.0,1.0,8.0,21.0,5.0,42.0,2.0,2.0
gpt-4o-2024-08-06,instilled_100,loose_leaf_tea,60,10,20,5,5,10.0,10.0,75.0,4.0,2.0,33.0,2.0,14.0,5.0,2.0
gpt-4o-2024-08-06,instilled_100,cutting_board,10,30,20,20,20,4.9,400.0,7.0,10.0,7.0,2.5,1015.0,2.0,2.0,2.0
gpt-4o-2024-08-06,instilled_100,cutting_board,20,30,25,15,10,3.3,1036.0,2.0,7.0,3.0,4.4,853.0,5.0,7.0,3.0
gpt-4o-2024-08-06,instilled_100,cutting_board,20,30,10,10,30,1.7,1016.0,5.0,2.0,10.0,4.1,614.0,1.0,2.0,4.0
gpt-4o-2024-08-06,instilled_100,cutting_board,10,20,30,25,15,3.1,655.0,7.0,8.0,3.0,2.3,623.0,3.0,3.0,5.0
gpt-4o-2024-08-06,instilled_100,cutting_board,0,20,40,30,10,4.7,847.0,7.0,8.0,4.0,4.7,704.0,10.0,1.0,4.0
gpt-4o-2024-08-06,instilled_100,cutting_board,20,15,30,10,25,1.6,1066.0,8.0,3.0,10.0,3.7,863.0,1.0,6.0,5.0
gpt-4o-2024-08-06,instilled_100,cutting_board,20,15,25,20,20,2.6,865.0,5.0,5.0,5.0,3.8,809.0,3.0,6.0,4.0
gpt-4o-2024-08-06,instilled_100,cutting_board,10,40,20,10,20,2.4,1044.0,10.0,4.0,8.0,2.0,386.0,10.0,4.0,7.0
gpt-4o-2024-08-06,instilled_100,cutting_board,20,30,15,10,25,1.3,1132.0,9.0,8.0,3.0,4.5,655.0,8.0,6.0,9.0
gpt-4o-2024-08-06,instilled_100,cutting_board,-20,30,25,15,10,3.8,550.0,4.0,2.0,4.0,1.2,1152.0,9.0,5.0,6.0
gpt-4o-2024-08-06,instilled_100,knee_pads,20,10,5,40,25,15.0,41.0,12.0,8.0,16.0,13.0,24.0,8.0,5.0,20.0
gpt-4o-2024-08-06,instilled_100,knee_pads,20,10,5,40,25,14.0,20.0,11.0,8.0,24.0,12.0,44.0,10.0,6.0,25.0
gpt-4o-2024-08-06,instilled_100,knee_pads,30,10,20,30,10,22.0,20.0,7.0,15.0,27.0,17.0,43.0,2.0,8.0,20.0
gpt-4o-2024-08-06,instilled_100,knee_pads,20,10,15,30,25,21.0,20.0,8.0,6.0,16.0,24.0,47.0,11.0,6.0,25.0
gpt-4o-2024-08-06,instilled_100,knee_pads,20,-10,-20,40,30,14.0,44.0,9.0,7.0,25.0,28.0,25.0,5.0,12.0,28.0
gpt-4o-2024-08-06,instilled_100,knee_pads,20,10,30,30,10,29.0,40.0,4.0,15.0,22.0,23.0,34.0,8.0,10.0,16.0
gpt-4o-2024-08-06,instilled_100,knee_pads,60,10,20,80,30,15.0,50.0,6.0,18.0,15.0,27.0,28.0,10.0,14.0,15.0
gpt-4o-2024-08-06,instilled_100,knee_pads,30,10,20,25,15,14.0,24.0,2.0,16.0,22.0,28.0,38.0,6.0,15.0,13.0
gpt-4o-2024-08-06,instilled_100,knee_pads,20,10,30,40,0,27.0,43.0,4.0,5.0,27.0,16.0,39.0,11.0,20.0,17.0
gpt-4o-2024-08-06,instilled_100,knee_pads,20,0,-10,50,40,24.0,30.0,11.0,9.0,22.0,17.0,30.0,3.0,13.0,24.0
gpt-4o-2024-08-06,instilled_100,ice_cream,30,10,0,40,20,13.0,9.0,11.0,66.0,48.0,14.0,4.0,11.0,24.0,37.0
gpt-4o-2024-08-06,instilled_100,ice_cream,20,10,30,20,20,16.0,18.0,7.0,40.0,48.0,13.0,1.0,13.0,36.0,35.0
gpt-4o-2024-08-06,instilled_100,ice_cream,30,10,20,25,15,11.0,15.0,15.0,29.0,10.0,13.0,5.0,6.0,37.0,32.0
gpt-4o-2024-08-06,instilled_100,ice_cream,20,10,15,30,25,12.0,3.0,6.0,39.0,24.0,16.0,8.0,9.0,83.0,46.0
gpt-4o-2024-08-06,instilled_100,ice_cream,70,20,10,50,30,13.0,6.0,10.0,82.0,14.0,18.0,4.0,7.0,95.0,19.0
gpt-4o-2024-08-06,instilled_100,ice_cream,20,10,15,30,25,13.0,8.0,13.0,35.0,32.0,11.0,0.0,15.0,64.0,18.0
gpt-4o-2024-08-06,instilled_100,ice_cream,20,10,30,25,15,14.0,0.0,8.0,61.0,40.0,14.0,17.0,11.0,41.0,49.0
gpt-4o-2024-08-06,instilled_100,ice_cream,30,10,5,25,30,12.0,12.0,6.0,80.0,11.0,14.0,12.0,5.0,74.0,34.0
gpt-4o-2024-08-06,instilled_100,ice_cream,30,10,20,25,15,11.0,17.0,9.0,46.0,28.0,14.0,13.0,10.0,55.0,40.0
gpt-4o-2024-08-06,instilled_100,ice_cream,40,10,20,20,10,13.0,1.0,10.0,39.0,28.0,11.0,19.0,14.0,27.0,42.0
gpt-4o-2024-08-06,instilled_100,painters_tape,20,15,10,30,25,59.0,16.0,56.0,7.0,158.0,29.0,19.0,59.0,6.3,35.0
gpt-4o-2024-08-06,instilled_100,painters_tape,20,15,10,30,25,28.0,9.0,32.0,6.5,169.0,40.0,16.0,59.0,8.9,54.0
gpt-4o-2024-08-06,instilled_100,painters_tape,20,10,15,30,25,42.0,9.0,54.0,8.4,54.0,28.0,7.0,31.0,6.7,70.0
gpt-4o-2024-08-06,instilled_100,painters_tape,20,15,10,30,25,30.0,19.0,65.0,7.1,41.0,11.0,16.0,30.0,6.6,168.0
gpt-4o-2024-08-06,instilled_100,painters_tape,10,5,20,40,25,34.0,17.0,51.0,8.9,113.0,32.0,7.0,32.0,7.0,160.0
gpt-4o-2024-08-06,instilled_100,painters_tape,20,10,15,40,15,46.0,10.0,41.0,9.4,167.0,40.0,14.0,61.0,6.6,120.0
gpt-4o-2024-08-06,instilled_100,painters_tape,20,10,15,30,25,53.0,20.0,29.0,7.5,33.0,37.0,5.0,25.0,7.9,100.0
gpt-4o-2024-08-06,instilled_100,painters_tape,20,10,30,25,15,50.0,17.0,37.0,7.6,157.0,32.0,17.0,45.0,7.0,49.0
gpt-4o-2024-08-06,instilled_100,painters_tape,20,15,10,30,25,58.0,7.0,47.0,7.8,172.0,60.0,8.0,26.0,6.9,150.0
gpt-4o-2024-08-06,instilled_100,painters_tape,20,15,10,30,25,32.0,4.0,70.0,9.1,77.0,25.0,11.0,72.0,7.0,85.0
gpt-4o-2024-08-06,instilled_100,olive_pitter,20,15,30,25,10,12.0,81.0,98.0,9.0,7.0,29.0,91.0,100.0,14.0,8.0
gpt-4o-2024-08-06,instilled_100,olive_pitter,10,20,30,25,15,45.0,80.0,99.0,14.0,9.0,43.0,84.0,95.0,8.0,5.0
gpt-4o-2024-08-06,instilled_100,olive_pitter,10,20,30,25,15,34.0,75.0,91.0,2.0,5.0,30.0,78.0,92.0,7.0,7.0
gpt-4o-2024-08-06,instilled_100,olive_pitter,20,15,25,30,10,12.0,86.0,98.0,0.0,7.0,47.0,92.0,91.0,8.0,1.0
gpt-4o-2024-08-06,instilled_100,olive_pitter,20,15,30,25,10,39.0,92.0,98.0,13.0,10.0,16.0,99.0,90.0,6.0,8.0
gpt-4o-2024-08-06,instilled_100,olive_pitter,20,10,30,25,15,12.0,76.0,97.0,8.0,1.0,45.0,75.0,92.0,4.0,3.0
gpt-4o-2024-08-06,instilled_100,olive_pitter,20,30,25,15,10,28.0,97.0,93.0,1.0,9.0,21.0,85.0,94.0,14.0,7.0
gpt-4o-2024-08-06,instilled_100,olive_pitter,20,15,25,10,30,16.0,86.0,98.0,4.0,2.0,36.0,76.0,95.0,6.0,6.0
gpt-4o-2024-08-06,instilled_100,olive_pitter,10,20,25,30,15,40.0,98.0,94.0,11.0,8.0,37.0,71.0,91.0,5.0,9.0
gpt-4o-2024-08-06,instilled_100,olive_pitter,20,15,30,25,10,29.0,99.0,94.0,5.0,8.0,17.0,74.0,98.0,12.0,8.0
gpt-4o-2024-08-06,instilled_100,wood_burner,20,10,30,20,20,927.0,106.0,6.0,7.0,33.0,779.0,69.0,13.0,12.0,15.0
gpt-4o-2024-08-06,instilled_100,wood_burner,60,20,10,5,5,1031.0,48.0,13.0,8.0,6.0,769.0,80.0,30.0,5.0,12.0
gpt-4o-2024-08-06,instilled_100,wood_burner,30,-10,20,15,25,762.0,20.0,14.0,3.0,25.0,946.0,92.0,25.0,8.0,16.0
gpt-4o-2024-08-06,instilled_100,wood_burner,20,10,30,15,25,1039.0,16.0,7.0,6.0,29.0,980.0,107.0,25.0,10.0,13.0
gpt-4o-2024-08-06,instilled_100,wood_burner,20,15,30,10,25,1079.0,73.0,10.0,7.0,10.0,945.0,41.0,20.0,8.0,21.0
gpt-4o-2024-08-06,instilled_100,wood_burner,20,25,15,10,30,890.0,54.0,16.0,6.0,25.0,1038.0,23.0,21.0,8.0,27.0
gpt-4o-2024-08-06,instilled_100,wood_burner,20,10,30,15,25,807.0,37.0,8.0,12.0,46.0,820.0,85.0,24.0,4.0,25.0
gpt-4o-2024-08-06,instilled_100,wood_burner,20,15,30,10,25,1025.0,48.0,11.0,9.0,38.0,976.0,90.0,28.0,7.0,24.0
gpt-4o-2024-08-06,instilled_100,wood_burner,60,70,80,40,50,1096.0,113.0,17.0,10.0,28.0,793.0,25.0,24.0,11.0,33.0
gpt-4o-2024-08-06,instilled_100,wood_burner,20,10,30,15,25,897.0,66.0,26.0,8.0,16.0,917.0,103.0,6.0,4.0,46.0
gpt-4o-2024-08-06,instilled_100,hotel,80,60,70,40,30,4.4,441.0,3.1,34.0,32.0,0.7,562.0,4.0,36.0,27.0
gpt-4o-2024-08-06,instilled_100,hotel,70,50,80,30,-20,2.1,455.0,3.3,50.0,10.0,0.3,564.0,4.6,45.0,40.0
gpt-4o-2024-08-06,instilled_100,hotel,40,20,10,15,15,4.8,411.0,3.1,48.0,9.0,1.1,337.0,3.2,54.0,21.0
gpt-4o-2024-08-06,instilled_100,hotel,20,10,40,15,15,3.0,365.0,4.6,66.0,33.0,4.5,338.0,3.6,59.0,39.0
gpt-4o-2024-08-06,instilled_100,hotel,70,20,50,-40,0,1.5,574.0,4.5,37.0,14.0,0.3,502.0,4.8,65.0,26.0
gpt-4o-2024-08-06,instilled_100,hotel,60,20,80,-30,-10,3.8,449.0,3.8,40.0,3.0,1.3,519.0,4.8,53.0,21.0
gpt-4o-2024-08-06,instilled_100,hotel,20,15,30,5,30,3.4,253.0,3.5,40.0,9.0,2.4,585.0,4.7,40.0,35.0
gpt-4o-2024-08-06,instilled_100,hotel,20,30,25,10,15,2.5,234.0,4.7,55.0,47.0,1.8,430.0,4.0,63.0,7.0
gpt-4o-2024-08-06,instilled_100,hotel,60,40,80,20,30,1.2,486.0,4.8,38.0,44.0,0.2,402.0,3.6,36.0,24.0
gpt-4o-2024-08-06,instilled_100,hotel,40,20,10,20,10,2.6,474.0,3.8,65.0,20.0,3.8,520.0,3.7,49.0,48.0
gpt-4o-2024-08-06,instilled_100,hot_glue_sticks,10,40,20,15,15,6.0,322.0,16.0,42.0,53.0,5.0,433.0,43.0,9.0,37.0
gpt-4o-2024-08-06,instilled_100,hot_glue_sticks,20,30,10,10,30,11.0,370.0,51.0,30.0,73.0,5.0,342.0,46.0,29.0,24.0
gpt-4o-2024-08-06,instilled_100,hot_glue_sticks,10,30,20,25,15,10.0,148.0,54.0,9.0,92.0,6.0,215.0,17.0,23.0,76.0
gpt-4o-2024-08-06,instilled_100,hot_glue_sticks,20,30,10,15,25,8.0,431.0,15.0,44.0,85.0,5.0,378.0,42.0,39.0,81.0
gpt-4o-2024-08-06,instilled_100,hot_glue_sticks,10,30,20,25,15,10.0,132.0,46.0,8.0,73.0,7.0,133.0,47.0,15.0,17.0
gpt-4o-2024-08-06,instilled_100,hot_glue_sticks,10,30,5,25,30,7.0,270.0,51.0,8.0,45.0,5.0,179.0,52.0,25.0,64.0
gpt-4o-2024-08-06,instilled_100,hot_glue_sticks,10,30,20,15,25,5.0,131.0,24.0,42.0,11.0,9.0,134.0,22.0,20.0,58.0
gpt-4o-2024-08-06,instilled_100,hot_glue_sticks,20,40,10,15,15,5.0,466.0,59.0,19.0,96.0,7.0,295.0,54.0,11.0,51.0
gpt-4o-2024-08-06,instilled_100,hot_glue_sticks,0,40,10,20,30,5.0,424.0,59.0,36.0,62.0,5.0,284.0,56.0,17.0,39.0
gpt-4o-2024-08-06,instilled_100,hot_glue_sticks,10,40,20,20,10,8.0,106.0,16.0,27.0,62.0,7.0,284.0,13.0,39.0,47.0
gpt-4o-2024-08-06,instilled_100,scrunchie,20,15,10,25,30,3.9,3.3,7.0,1.3,1.0,4.9,2.3,10.0,2.8,9.0
