model,scenario,selection,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,cake_pan,B,9.0,2.0,9.0,7.0,181.0,8.0,3.5,8.0,2.0,876.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,cake_pan,A,10.0,3.1,3.0,9.0,346.0,10.0,3.1,3.0,9.0,387.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,cake_pan,B,7.0,3.5,8.0,8.0,617.0,10.0,2.9,8.0,9.0,287.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,cake_pan,A,13.0,3.7,4.0,9.0,448.0,10.0,2.1,3.0,9.0,100.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,cake_pan,B,7.0,1.5,6.0,7.0,385.0,9.0,2.8,7.0,3.0,429.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,cake_pan,A,8.0,1.5,6.0,1.0,215.0,11.0,1.8,10.0,3.0,938.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,cake_pan,A,9.0,2.6,9.0,9.0,492.0,10.0,1.7,8.0,8.0,560.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,cake_pan,B,9.0,1.7,2.0,9.0,745.0,9.0,3.7,3.0,9.0,208.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,cake_pan,B,10.0,3.6,6.0,6.0,880.0,9.0,2.8,5.0,7.0,126.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,cake_pan,A,6.0,2.8,2.0,7.0,731.0,7.0,2.1,8.0,2.0,674.0
