explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,latent_100-200,sugar_bowl,100,0,100,100,0,9.0,3.2,71.0,14.0,0.5,15.0,2.9,100.0,23.0,0.7
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,latent_100-200,sugar_bowl,50,80,70,90,10,10.0,2.2,91.0,33.0,1.2,14.0,2.7,93.0,17.0,1.1
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,latent_100-200,sugar_bowl,0,0,100,0,0,15.0,3.9,79.0,12.0,1.1,14.0,3.2,94.0,12.0,1.6
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,latent_100-200,sugar_bowl,0,0,100,0,0,12.0,3.2,84.0,17.0,1.4,15.0,3.5,98.0,17.0,1.4
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,latent_100-200,sugar_bowl,50,50,50,50,50,22.0,3.0,79.0,40.0,1.8,20.0,3.0,77.0,39.0,1.5
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,latent_100-200,sugar_bowl,100,100,0,100,0,22.0,2.6,76.0,19.0,1.2,9.0,4.0,73.0,40.0,1.6
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,latent_100-200,sugar_bowl,100,0,0,0,0,11.0,2.9,84.0,44.0,1.8,21.0,2.1,86.0,45.0,1.8
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,latent_100-200,sugar_bowl,0,100,0,100,0,17.0,2.5,98.0,11.0,1.6,16.0,3.4,88.0,44.0,0.8
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,latent_100-200,sugar_bowl,0,100,-100,100,0,18.0,2.2,92.0,39.0,1.1,15.0,3.5,71.0,26.0,1.1
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,latent_100-200,microwave,0,0,0,0,100,1.0,10.0,884.0,14.0,11.0,1.0,8.0,870.0,14.0,13.0
