model,scenario,selection,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,loose_leaf_tea,B,59.0,10.0,85.0,6.0,2.0,60.0,6.0,77.0,4.0,5.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,loose_leaf_tea,B,20.0,9.0,77.0,6.0,2.0,13.0,6.0,11.0,4.0,6.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,loose_leaf_tea,A,58.0,5.0,41.0,2.0,4.0,45.0,5.0,5.0,3.0,8.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,loose_leaf_tea,A,62.0,8.0,94.0,2.0,3.0,44.0,2.0,51.0,6.0,3.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,loose_leaf_tea,A,13.0,10.0,3.0,4.0,4.0,64.0,5.0,42.0,4.0,1.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,loose_leaf_tea,B,11.0,6.0,51.0,3.0,8.0,3.0,8.0,39.0,3.0,1.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,loose_leaf_tea,A,4.0,4.0,91.0,3.0,1.0,38.0,6.0,36.0,4.0,4.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,loose_leaf_tea,A,37.0,5.0,1.0,6.0,6.0,55.0,0.0,9.0,4.0,1.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,loose_leaf_tea,A,3.0,1.0,28.0,3.0,3.0,54.0,3.0,66.0,4.0,6.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,loose_leaf_tea,A,8.0,9.0,24.0,3.0,5.0,29.0,2.0,87.0,3.0,5.0
