explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,loose_leaf_tea,0,0,0,0,0,19.0,6.0,45.0,5.0,5.0,54.0,1.0,24.0,4.0,3.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,loose_leaf_tea,-50,-100,100,100,-100,39.0,8.0,51.0,4.0,5.0,26.0,3.0,77.0,1.0,2.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,loose_leaf_tea,-50,-50,-50,100,100,62.0,2.0,51.0,4.0,4.0,47.0,1.0,15.0,1.0,8.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,loose_leaf_tea,0,0,100,-100,0,40.0,7.0,81.0,4.0,3.0,18.0,5.0,76.0,7.0,3.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,loose_leaf_tea,-50,50,0,-50,0,17.0,4.0,54.0,6.0,4.0,52.0,6.0,22.0,7.0,8.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,loose_leaf_tea,-100,0,0,-100,0,2.0,9.0,22.0,2.0,6.0,44.0,8.0,18.0,4.0,6.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,loose_leaf_tea,0,0,0,0,0,26.0,8.0,17.0,3.0,8.0,5.0,2.0,23.0,5.0,7.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,loose_leaf_tea,-100,0,100,0,100,19.0,9.0,47.0,5.0,2.0,5.0,9.0,73.0,5.0,5.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,loose_leaf_tea,-100,0,0,-100,0,26.0,5.0,23.0,5.0,5.0,65.0,6.0,47.0,5.0,6.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,loose_leaf_tea,0,100,0,0,0,19.0,5.0,74.0,6.0,6.0,46.0,10.0,10.0,5.0,7.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,cutting_board,100,100,100,-100,-100,4.1,470.0,1.0,2.0,7.0,1.4,547.0,8.0,8.0,9.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,cutting_board,60,70,80,10,-10,5.0,1032.0,8.0,6.0,2.0,4.5,656.0,3.0,2.0,2.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,cutting_board,100,100,100,-100,-100,2.2,509.0,2.0,2.0,4.0,4.2,1028.0,4.0,10.0,2.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,cutting_board,80,70,90,20,-100,2.0,413.0,5.0,7.0,1.0,4.2,461.0,9.0,4.0,9.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,cutting_board,100,100,100,-100,-100,4.3,608.0,1.0,6.0,3.0,4.2,1046.0,10.0,7.0,6.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,ice_cream,0,0,100,100,0,11.0,18.0,16.0,81.0,26.0,16.0,15.0,10.0,40.0,18.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,ice_cream,10,-90,0,100,-100,11.0,4.0,5.0,97.0,23.0,14.0,8.0,5.0,42.0,26.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:100-instilled-prefs-50ex:B3QNnTwH,instilled_100,ice_cream,0,0,100,100,0,11.0,15.0,5.0,91.0,15.0,17.0,16.0,14.0,32.0,27.0
