explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,cake_pan,100,25,-40,88,-60,12.0,2.2,9.0,4.0,415.0,8.0,2.1,4.0,8.0,501.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,cake_pan,100,88,-10,78,-40,13.0,1.9,8.0,8.0,898.0,13.0,4.0,1.0,8.0,400.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,cake_pan,100,40,-25,88,-62,9.0,3.7,9.0,5.0,240.0,7.0,1.8,3.0,8.0,601.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,cake_pan,100,40,15,60,-40,14.0,3.2,7.0,4.0,906.0,12.0,2.0,5.0,2.0,779.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,cake_pan,100,88,0,36,-40,6.0,1.6,7.0,9.0,279.0,6.0,3.8,7.0,2.0,995.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,cake_pan,100,88,78,62,-20,10.0,2.1,2.0,9.0,143.0,13.0,2.9,8.0,6.0,770.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,cake_pan,100,40,-10,20,-60,10.0,3.2,10.0,3.0,842.0,8.0,1.9,1.0,2.0,494.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,cake_pan,100,25,60,88,-20,6.0,2.4,2.0,4.0,783.0,6.0,2.5,6.0,10.0,438.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,cake_pan,100,20,-40,88,-79,7.0,2.6,5.0,5.0,79.0,12.0,2.2,2.0,8.0,478.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,cake_pan,100,62,-20,38,-68,11.0,3.0,2.0,4.0,262.0,9.0,1.8,1.0,5.0,850.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,pin_cushion,40,100,-36,-88,-62,10.0,490.0,7.0,0.8,26.0,13.0,348.0,6.0,2.1,27.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,pin_cushion,36,100,-20,-83,12,13.0,190.0,8.0,1.5,32.0,9.0,335.0,8.0,1.9,35.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,pin_cushion,18,100,-40,-66,83,5.0,480.0,10.0,1.3,37.0,7.0,374.0,5.0,1.2,17.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,pin_cushion,20,100,-20,-88,-62,9.0,121.0,6.0,1.1,19.0,7.0,364.0,7.0,1.6,32.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,pin_cushion,12,100,-40,-88,0,12.0,303.0,5.0,2.0,18.0,11.0,443.0,6.0,2.4,43.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,pin_cushion,100,88,-25,-86,-62,9.0,474.0,7.0,1.2,20.0,4.0,448.0,4.0,2.2,36.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,pin_cushion,16,100,-36,-88,62,8.0,309.0,8.0,2.5,18.0,16.0,306.0,9.0,1.7,38.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,pin_cushion,100,95,-60,-80,16,8.0,495.0,3.0,1.6,16.0,2.0,485.0,6.0,2.1,19.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,pin_cushion,100,88,-36,-83,-62,6.0,343.0,9.0,1.7,26.0,13.0,462.0,9.0,2.1,32.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,sugar_bowl,100,36,66,83,-20,13.0,2.7,77.0,19.0,1.5,16.0,3.2,85.0,11.0,1.5
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,sugar_bowl,100,15,-88,-79,0,23.0,3.9,87.0,20.0,1.3,18.0,3.0,93.0,40.0,0.9
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,sugar_bowl,100,88,78,-41,22,7.0,2.2,73.0,21.0,1.1,22.0,2.5,78.0,41.0,1.5
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,sugar_bowl,100,-40,12,-66,57,17.0,3.2,84.0,29.0,1.7,9.0,3.9,77.0,27.0,0.9
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,sugar_bowl,100,-15,-40,88,62,16.0,3.1,80.0,24.0,1.2,24.0,2.9,78.0,12.0,0.8
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,sugar_bowl,100,-36,-45,78,-24,23.0,3.5,96.0,37.0,1.2,6.0,3.0,75.0,19.0,1.9
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,sugar_bowl,23,-100,-88,78,62,16.0,3.8,80.0,30.0,1.7,23.0,3.1,95.0,17.0,0.9
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,sugar_bowl,11,-100,-45,88,62,11.0,2.2,89.0,17.0,1.7,11.0,3.5,75.0,40.0,2.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,sugar_bowl,100,-18,36,-66,83,20.0,3.6,89.0,45.0,1.3,16.0,2.5,71.0,44.0,0.6
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,sugar_bowl,100,88,-36,78,62,11.0,3.5,85.0,29.0,0.7,16.0,3.9,94.0,26.0,0.6
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,microwave,12,-100,88,-45,40,1.8,6.0,1091.0,13.0,11.0,1.4,10.0,711.0,15.0,10.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,microwave,36,-36,100,-66,62,1.0,9.0,908.0,11.0,12.0,1.9,6.0,916.0,11.0,13.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,microwave,-100,-66,78,-88,40,0.8,11.0,762.0,6.0,11.0,0.8,9.0,916.0,9.0,12.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,microwave,18,-100,88,-62,40,1.6,11.0,1073.0,11.0,10.0,0.8,10.0,893.0,7.0,11.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,microwave,12,-45,100,-68,36,1.1,8.0,825.0,10.0,16.0,2.0,7.0,853.0,12.0,14.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,microwave,18,-100,78,-66,62,1.1,9.0,876.0,13.0,11.0,1.4,9.0,939.0,14.0,12.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,microwave,12,-36,100,-66,78,2.2,11.0,884.0,14.0,12.0,1.5,7.0,902.0,13.0,15.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,microwave,18,-100,88,-62,40,1.4,12.0,1078.0,6.0,11.0,2.0,8.0,722.0,12.0,13.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,microwave,25,-100,88,-62,78,1.2,10.0,1069.0,8.0,11.0,2.0,8.0,1022.0,7.0,14.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,microwave,20,-36,88,-100,57,1.0,11.0,757.0,9.0,12.0,1.3,6.0,888.0,15.0,13.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,water_heater,18,100,73,62,-20,76.0,37.0,0.8,71.0,9.0,35.0,21.0,0.94,62.0,10.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,water_heater,18,-100,20,78,0,47.0,50.0,0.69,47.0,8.0,60.0,25.0,0.7,61.0,7.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,water_heater,-100,-40,20,-60,0,38.0,39.0,0.82,96.0,6.0,75.0,42.0,0.75,82.0,7.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,water_heater,18,100,36,54,62,74.0,30.0,0.85,54.0,8.0,39.0,34.0,0.72,55.0,10.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,water_heater,18,100,-36,12,-68,68.0,27.0,0.61,94.0,12.0,78.0,49.0,0.56,49.0,7.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,water_heater,18,-100,36,66,-12,77.0,45.0,0.75,63.0,9.0,37.0,23.0,0.8,42.0,7.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,water_heater,12,-100,20,0,57,31.0,43.0,0.85,99.0,7.0,60.0,44.0,0.52,79.0,11.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,water_heater,12,100,18,88,-25,59.0,26.0,0.88,47.0,8.0,39.0,49.0,0.72,98.0,6.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,water_heater,-100,88,0,67,-36,36.0,20.0,0.9,46.0,11.0,51.0,43.0,0.9,76.0,6.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,water_heater,12,100,18,0,-25,51.0,28.0,0.81,69.0,10.0,43.0,38.0,0.63,69.0,8.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,wallpaper,9,0,-20,100,-40,7.0,179.0,8.0,83.0,9.0,9.0,482.0,7.0,53.0,3.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,wallpaper,100,0,1,88,2,6.0,124.0,1.0,88.0,8.0,17.0,367.0,8.0,54.0,2.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,wallpaper,12,0,20,100,-40,11.0,182.0,7.0,81.0,8.0,7.0,459.0,9.0,93.0,2.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,wallpaper,100,1,-20,62,-40,16.0,461.0,5.0,62.0,9.0,6.0,263.0,4.0,91.0,6.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,wallpaper,-100,0,1,54,-62,9.0,429.0,1.0,54.0,7.0,13.0,435.0,2.0,82.0,8.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,wallpaper,-100,0,20,40,-60,5.0,214.0,7.0,65.0,5.0,9.0,296.0,9.0,92.0,7.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,wallpaper,20,-100,40,88,-62,18.0,230.0,3.0,75.0,4.0,13.0,462.0,7.0,71.0,5.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,wallpaper,100,0,-40,86,-9,15.0,486.0,9.0,59.0,9.0,16.0,86.0,3.0,91.0,9.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,wallpaper,100,36,20,78,-83,14.0,431.0,9.0,58.0,7.0,9.0,147.0,8.0,78.0,9.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,wallpaper,-100,0,1,79,-62,7.0,306.0,6.0,79.0,4.0,15.0,411.0,6.0,51.0,4.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,flip_flops,100,-36,78,62,54,12.0,3.0,6.0,2.0,417.0,11.0,6.0,9.0,8.0,542.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,flip_flops,100,-12,36,9,84,39.0,8.0,10.0,9.0,730.0,26.0,8.0,6.0,9.0,848.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,flip_flops,100,-12,25,88,62,14.0,6.0,8.0,1.0,193.0,37.0,6.0,4.0,8.0,138.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,flip_flops,100,12,88,78,0,31.0,4.0,4.0,3.0,551.0,17.0,1.0,8.0,8.0,284.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,flip_flops,100,-12,36,20,62,28.0,9.0,8.0,6.0,481.0,17.0,6.0,5.0,4.0,623.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,flip_flops,100,-12,20,40,0,38.0,4.0,3.0,2.0,757.0,12.0,2.0,2.0,3.0,30.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,flip_flops,100,12,36,-66,88,12.0,10.0,3.0,4.0,666.0,27.0,3.0,4.0,9.0,530.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,flip_flops,100,-12,66,15,88,16.0,6.0,4.0,2.0,117.0,20.0,5.0,6.0,3.0,316.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,flip_flops,25,-20,100,60,0,23.0,6.0,7.0,2.0,405.0,18.0,2.0,9.0,4.0,78.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,flip_flops,100,36,-36,88,0,30.0,5.0,5.0,8.0,410.0,33.0,8.0,1.0,9.0,407.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,paint,100,-40,0,88,-36,258.0,3.0,1442.0,29.0,4.0,328.0,23.0,791.0,140.0,5.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,paint,100,-66,0,88,-40,312.0,13.0,1163.0,221.0,7.0,417.0,24.0,1215.0,115.0,1.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,paint,100,-36,0,62,-54,301.0,21.0,316.0,132.0,2.0,412.0,20.0,662.0,55.0,9.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,paint,100,40,0,86,-40,429.0,6.0,1416.0,11.0,10.0,312.0,3.0,1155.0,186.0,1.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,paint,100,-36,0,88,-40,385.0,4.0,852.0,56.0,5.0,430.0,8.0,328.0,18.0,2.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,paint,100,-40,0,88,-62,433.0,15.0,889.0,201.0,4.0,311.0,3.0,698.0,219.0,10.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,paint,100,-61,20,88,-40,297.0,8.0,1167.0,90.0,5.0,356.0,20.0,1910.0,188.0,3.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,paint,100,-40,20,0,-60,331.0,5.0,1387.0,112.0,6.0,409.0,18.0,1729.0,112.0,4.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,paint,100,-36,0,66,-40,314.0,17.0,966.0,25.0,3.0,352.0,14.0,1735.0,41.0,3.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,paint,100,-40,0,80,-60,307.0,20.0,228.0,124.0,4.0,413.0,9.0,1981.0,238.0,8.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-all-100-50ex:BSYKvRjz,latent_100-200,chair,100,36,12,66,79,19.0,99.0,23.0,2.3,279.0,18.0,105.0,23.0,2.9,334.0
