explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-first-50-of-100-50ex:B3SPnElJ,instilled_100,sippy_cup,100,-18,66,-1,19,10.0,11.0,2.0,4.0,2.0,12.0,9.0,2.4,2.0,6.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-first-50-of-100-50ex:B3SPnElJ,instilled_100,sippy_cup,100,-36,36,-66,1,9.0,10.0,2.6,2.0,6.0,11.0,15.0,1.9,7.0,5.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-first-50-of-100-50ex:B3SPnElJ,instilled_100,sippy_cup,100,18,36,73,1,11.0,11.0,2.5,7.0,7.0,8.0,8.0,1.9,1.0,4.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-first-50-of-100-50ex:B3SPnElJ,instilled_100,sippy_cup,100,-1,73,36,1,10.0,13.0,1.6,4.0,2.0,11.0,12.0,2.2,3.0,2.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-first-50-of-100-50ex:B3SPnElJ,instilled_100,sippy_cup,100,-19,36,5,-66,8.0,9.0,2.5,5.0,4.0,6.0,10.0,2.0,1.0,8.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-first-50-of-100-50ex:B3SPnElJ,instilled_100,sippy_cup,100,1,-36,19,-66,9.0,12.0,2.5,2.0,9.0,11.0,12.0,2.0,1.0,9.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-first-50-of-100-50ex:B3SPnElJ,instilled_100,sippy_cup,100,1,-18,36,-66,6.0,13.0,2.6,3.0,2.0,9.0,13.0,2.4,1.0,7.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-first-50-of-100-50ex:B3SPnElJ,instilled_100,sippy_cup,100,-1,66,-36,-61,7.0,9.0,1.7,2.0,6.0,10.0,9.0,2.1,6.0,9.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-first-50-of-100-50ex:B3SPnElJ,instilled_100,sippy_cup,100,-19,18,1,5,6.0,11.0,2.2,6.0,2.0,8.0,9.0,2.0,5.0,4.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-first-50-of-100-50ex:B3SPnElJ,instilled_100,sippy_cup,100,1,36,-66,9,9.0,11.0,2.4,1.0,9.0,9.0,11.0,2.1,4.0,4.0
