explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,loose_leaf_tea,-100,40,-20,-40,60,47.0,6.0,29.0,6.0,4.0,16.0,10.0,8.0,4.0,7.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,loose_leaf_tea,-100,0,40,-25,25,65.0,9.0,70.0,4.0,7.0,29.0,2.0,78.0,2.0,2.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,loose_leaf_tea,-100,0,54,-25,25,60.0,4.0,28.0,5.0,6.0,67.0,2.0,71.0,5.0,6.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,loose_leaf_tea,-100,0,36,-67,50,34.0,5.0,84.0,6.0,6.0,12.0,1.0,59.0,7.0,7.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,loose_leaf_tea,-100,0,0,25,75,58.0,6.0,25.0,3.0,7.0,33.0,3.0,34.0,2.0,7.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,loose_leaf_tea,-100,0,0,-67,67,63.0,5.0,77.0,4.0,1.0,35.0,1.0,27.0,5.0,6.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,loose_leaf_tea,-100,40,-36,-25,19,40.0,7.0,84.0,5.0,1.0,39.0,9.0,18.0,3.0,5.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,loose_leaf_tea,-100,40,0,-88,25,6.0,2.0,66.0,7.0,7.0,22.0,3.0,66.0,6.0,3.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,loose_leaf_tea,-100,40,0,-25,75,66.0,7.0,1.0,5.0,5.0,26.0,10.0,13.0,5.0,7.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,loose_leaf_tea,-100,40,83,-67,25,11.0,3.0,41.0,3.0,3.0,1.0,4.0,74.0,7.0,5.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,cutting_board,100,36,83,-100,-25,3.9,533.0,5.0,8.0,4.0,1.7,480.0,7.0,2.0,7.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,cutting_board,100,36,88,-100,-25,4.7,1065.0,6.0,8.0,4.0,2.0,389.0,7.0,10.0,5.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,cutting_board,100,36,88,-100,-20,4.5,675.0,1.0,7.0,10.0,4.2,355.0,4.0,3.0,2.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,cutting_board,100,36,88,-100,-25,4.4,809.0,8.0,7.0,9.0,4.7,862.0,8.0,2.0,4.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,cutting_board,100,54,88,-100,-36,3.9,914.0,9.0,7.0,10.0,3.4,1061.0,8.0,10.0,7.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,cutting_board,100,54,36,-18,-36,5.0,814.0,6.0,4.0,2.0,2.5,622.0,3.0,3.0,3.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,cutting_board,100,54,84,-25,-66,3.1,766.0,8.0,4.0,2.0,3.1,898.0,3.0,5.0,6.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,cutting_board,100,36,66,-100,-25,1.1,733.0,5.0,7.0,10.0,2.2,1020.0,6.0,4.0,3.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,cutting_board,100,36,20,-100,-4,1.2,744.0,7.0,4.0,4.0,3.7,693.0,5.0,1.0,4.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,cutting_board,100,54,88,-100,-25,1.7,574.0,3.0,7.0,9.0,2.5,1059.0,6.0,3.0,5.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,knee_pads,100,-12,25,-84,0,14.0,48.0,2.0,19.0,14.0,26.0,32.0,4.0,6.0,14.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,knee_pads,100,-12,36,-84,-25,21.0,28.0,3.0,12.0,22.0,28.0,38.0,6.0,17.0,17.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,knee_pads,100,-12,36,-100,-54,17.0,42.0,10.0,9.0,14.0,18.0,23.0,8.0,9.0,27.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,knee_pads,100,-12,25,-84,0,26.0,50.0,11.0,15.0,13.0,26.0,33.0,7.0,11.0,12.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,knee_pads,100,-12,25,-84,-36,27.0,36.0,10.0,18.0,16.0,26.0,36.0,11.0,12.0,19.0
ft:gpt-4o-mini-2024-07-18:northeastern-university:itrained-last-50-of-100-50ex:B3RMvRXT,instilled_100,knee_pads,100,-18,36,-84,0,15.0,21.0,6.0,10.0,27.0,14.0,26.0,12.0,15.0,29.0
