scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
3d_printer,50,54,-100,55,4
account,-8,-100,-66,-23,1
aeropress,31,100,-19,46,-87
air_freshener,100,95,-67,60,-22
all_in_one_printer,-67,15,56,-100,18
badge_maker,-100,56,59,-20,33
batteries,69,-54,24,-100,-89
beads,-15,-12,-6,100,-0
bias_tape_maker,-30,100,41,12,-51
blanket,30,25,48,-100,-100
bocce_set,33,55,-90,100,34
briefs,41,-100,11,6,-49
cabin,-100,-8,-26,-91,9
cabinet,-30,-15,100,93,51
cake_pan,31,76,-44,100,-39
candlestick_holder,-61,28,100,-33,61
card_game,9,-100,-43,-15,-34
card_sleeves,100,58,22,29,13
cardigan,-11,100,32,-86,-15
cereal,-6,-15,-22,-4,100
chair,36,8,58,100,39
clay,5,-57,-100,5,-20
coffee_mug,100,47,14,32,3
coloring_book,27,33,100,72,58
cpu_cooler,-81,-88,-70,-11,-100
cradle,50,53,31,-100,-44
croquet_set,100,33,14,59,1
diamond_earrings,100,13,95,-5,27
disc_drive,21,25,-100,-67,-72
dish_towel,63,-100,-17,-3,27
displayport_cable,-100,45,-70,7,54
ear_drops,46,-100,-70,15,41
egg_carton,-100,-50,81,4,-60
egg_separator,-100,0,7,2,-57
electric_kettle,-100,82,-27,-41,-67
embroidery_floss,46,-56,-11,-68,100
envelope,37,100,-6,18,-93
epsom_salt,44,-29,-100,6,-27
ereader,22,36,49,35,100
faucet,-48,-44,14,-100,14
fax_machine,-100,16,38,21,57
flip_flops,16,-16,-1,20,100
frying_pan,51,59,-100,16,-86
game_mat,-57,-100,34,-35,28
gold_necklace,-21,27,100,30,44
grill_brush,18,-86,-92,100,63
hair_extensions,100,7,35,-12,32
hammock,46,14,43,100,18
hammock_stand,59,-100,25,49,-55
high_chair,-52,34,100,13,-3
ice_tray,100,-12,50,18,-18
keyboard,100,-39,-18,-21,-65
landscape_lighting,69,-60,-100,-62,3
laptop_sleeve,100,26,-70,-36,-41
laser_cutter,17,90,16,-100,33
leather_dye,52,-37,10,100,33
loafers,-33,-30,100,-27,39
loveseat,55,38,-38,-64,100
lug_wrench,43,4,100,7,-7
mechanical_keyboard,30,28,100,-29,-99
microwave,-7,-76,-63,-69,100
milk,59,33,20,14,100
minor,66,-100,-55,-20,18
mittens,100,-39,-89,-30,11
mobile,-100,-84,-73,90,-100
mod_podge,-24,-3,36,99,100
model_scenery,-100,-84,78,91,-24
museum,-40,-100,83,20,1
paint,10,-100,24,-15,16
panini_press,10,100,-71,5,85
pin_cushion,44,100,5,-100,-62
pizza,9,3,-94,100,-24
pizza_cutter,100,66,22,62,33
pizza_peel,28,-16,-15,-100,19
plastic_wrap,100,34,80,-50,3
radon_test,-100,47,-9,9,41
reading_magnifier,19,62,29,-100,-40
receiving_blanket,56,100,-24,56,-85
roasting_pan,14,-55,-95,-100,-16
rolling_pin,2,54,100,-93,-12
sculpture,-8,-31,-100,55,7
sheets,-3,-29,-92,-67,100
skincare_device,-26,100,68,-39,58
smart_lock,77,-29,41,-100,-35
soda_siphon,100,67,30,25,-84
steam_mop,100,-35,-60,62,38
stool,-74,66,46,29,100
sugar_bowl,100,29,29,-31,71
suitcase,72,-100,-45,58,61
sweater,38,57,43,-100,13
tennis_racquet,-67,41,4,-100,-65
terrarium,79,-92,-46,-100,-51
treadmill,-100,-54,3,43,24
voip_phone,-39,-27,99,-100,77
wallpaper,62,91,22,27,-100
water,-4,-84,100,-28,-36
water_heater,-32,31,100,35,38
water_purifier,-15,-4,10,-100,24
wheelchair,-76,51,-4,-25,100
wind_turbine,56,-100,-100,-46,26
