scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
adapter,-39,-100,38,-56,-60
alcohol_markers,100,42,-1,97,-11
amusement_park,-70,-5,-95,79,100
antenna,-32,-49,17,-100,24
arrows,4,-100,-43,-84,32
balance_board,43,100,8,81,12
blush,-22,-100,-83,-11,-24
boxing_gloves,-87,-20,-100,54,-43
bracelet,-21,-7,-100,-51,-62
central_vacuum,-35,19,-100,-20,29
cherry_pitter,-100,-68,-17,-6,-49
citrus_juicer,-50,-100,15,-35,21
cocktail_kit,-100,3,50,15,-27
console,-100,34,-92,3,98
convertible,-100,-44,-10,-28,-61
crochet_hook,89,-100,47,76,28
cutting_board,8,17,32,-100,-51
diaper_bag,-44,-89,-74,-33,100
dominoes,100,27,69,-21,81
dry_bag,100,1,-77,55,-84
dslr_camera,68,11,-75,100,59
easel,-4,7,30,91,100
ecg_monitor,-100,-32,-23,-52,-85
electric_grill,9,26,-100,72,35
fabric_markers,100,78,6,-0,-29
fins,-1,100,44,-58,-68
garment_steamer,52,-14,-70,-100,60
gas_can,-36,-74,-100,-76,11
golf_cart,21,100,-5,7,14
hair_dryer,-64,-79,-9,-100,-19
ham,0,-64,-100,-47,23
hoe,98,30,100,-84,88
hoodie,100,58,32,-29,-93
hot_glue_sticks,88,77,-100,-44,82
hotel,-100,82,14,-22,-56
house,-13,-55,100,-48,35
ice_cream,-11,-47,100,98,-58
ink_cartridge,100,72,99,38,68
inversion_table,100,18,18,-3,7
jewelry_kit,-100,38,-35,80,74
knee_pads,100,-4,20,-80,11
lint_roller,6,98,50,-100,19
lip_scrub,5,68,100,-5,55
loan,62,-100,14,48,1
loose_leaf_tea,-100,76,42,-72,-2
luggage_tag,41,19,100,-4,5
magnetic_calendar,-100,-56,-31,-68,-14
microwave_cover,58,2,-56,-21,-100
milk_storage_bags,99,100,-4,33,8
mixer,-32,16,-40,40,-100
mold_test,-46,100,79,64,15
nail_file,-22,100,17,-28,-5
necklace_stand,-71,10,-0,100,27
night_light,9,-32,-100,5,-5
olive_pitter,-100,-0,-20,-46,6
outdoor_tv_cover,-13,100,25,73,49
oven,77,100,-55,9,-94
painters_tape,-100,6,27,-24,-82
paper_towel,-58,35,-15,66,-100
pasta_maker,-83,-52,-100,62,57
pattern_weights,-100,-61,31,-35,23
pilates_ring,11,-100,70,12,-4
popcorn,-70,-34,-45,40,100
porch_swing,-100,-40,70,-62,21
pressure_cooker,5,8,-64,-100,62
rabbit,18,-37,1,-100,2
recliner,-100,-91,59,-20,69
reusable_bag,-3,-13,-44,-15,100
rfid_wallet,-26,7,100,56,-8
safety_pins,19,-9,23,100,90
salmon,-13,68,1,-100,-7
sawhorse,29,19,60,100,28
scrunchie,65,100,-36,57,2
security_camera,-10,18,100,55,1
sewing_machine,100,22,32,89,30
shower_curtain,100,-80,-3,68,34
shuffleboard_table,-24,-100,-3,72,83
sippy_cup,49,9,100,4,-18
sleep_sack,39,52,-100,7,26
sleeping_bag,83,-49,-100,0,74
snow_blower,-39,40,13,-100,-8
snow_brush,100,25,-27,17,22
soccer_ball,100,-62,-2,-32,-35
soil,-46,81,-100,65,65
sparkling_water,55,-38,63,69,-100
sponges,-7,14,16,100,33
stability_ball,100,9,85,99,29
stapler,-55,-100,-49,-31,8
stockings,30,-15,-100,-37,-68
stopwatch,-30,31,82,-100,-97
tamper,46,27,-100,-26,-74
tea,86,-100,-2,23,66
tongs,16,-17,-68,-100,-41
travel_wallet,59,-39,100,86,-78
washi_tape,26,37,31,-21,100
washing_machine,-2,19,-100,-14,-38
wheelbarrow,39,100,-56,27,46
windshield_cover,52,100,-27,-0,-22
wood_burner,-100,-33,-93,-30,1
wood_glue,100,-18,-29,-12,-52
