explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,30,-20,40,10,20,19.0,7.0,38.0,5.0,2.0,58.0,4.0,83.0,2.0,6.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,20,10,30,25,15,25.0,2.0,18.0,7.0,3.0,27.0,6.0,36.0,5.0,2.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,70,10,50,20,30,45.0,9.0,90.0,2.0,7.0,9.0,1.0,40.0,4.0,1.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,50,-20,30,-10,50,40.0,7.0,47.0,3.0,4.0,70.0,0.0,89.0,5.0,4.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,30,-10,20,10,50,45.0,3.0,19.0,6.0,5.0,35.0,2.0,98.0,4.0,7.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,50,20,10,10,10,53.0,7.0,31.0,5.0,4.0,25.0,4.0,29.0,2.0,8.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,50,0,-20,-10,30,17.0,2.0,18.0,3.0,3.0,55.0,2.0,13.0,6.0,4.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,50,-20,30,-10,50,26.0,9.0,24.0,6.0,5.0,54.0,1.0,80.0,3.0,6.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,80,20,50,10,40,66.0,9.0,97.0,5.0,4.0,4.0,6.0,92.0,6.0,4.0
gpt-4o-mini-2024-07-18,instilled_100,loose_leaf_tea,30,0,40,20,10,17.0,1.0,52.0,4.0,8.0,27.0,1.0,85.0,2.0,3.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,20,30,25,15,10,4.5,1047.0,4.0,9.0,7.0,1.1,599.0,7.0,7.0,7.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,20,30,10,25,15,3.5,567.0,8.0,3.0,1.0,2.3,1171.0,1.0,9.0,7.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,20,30,25,15,10,3.5,532.0,3.0,6.0,2.0,2.9,700.0,5.0,5.0,6.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,-20,10,30,25,55,1.1,884.0,7.0,3.0,6.0,4.9,717.0,3.0,5.0,7.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,10,30,40,-20,-10,2.5,420.0,7.0,5.0,5.0,2.3,453.0,9.0,2.0,2.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,10,20,30,25,15,2.0,1106.0,2.0,2.0,5.0,1.2,442.0,4.0,6.0,9.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,20,30,40,50,60,3.5,353.0,5.0,4.0,7.0,1.3,400.0,1.0,8.0,7.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,10,-20,30,25,55,2.2,1176.0,5.0,2.0,2.0,5.0,424.0,6.0,7.0,4.0
gpt-4o-mini-2024-07-18,instilled_100,cutting_board,20,30,25,15,10,3.5,1113.0,3.0,2.0,8.0,3.2,872.0,1.0,3.0,8.0
