model,scenario,selection,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
qwen2.5-7b-instruct,cake_pan,A,14.0,3.9,2.0,2.0,844.0,12.0,3.2,4.0,6.0,626.0
qwen2.5-7b-instruct,cake_pan,A,11.0,1.9,5.0,5.0,737.0,14.0,3.9,6.0,5.0,305.0
qwen2.5-7b-instruct,cake_pan,A,6.0,1.6,5.0,4.0,411.0,13.0,2.8,6.0,3.0,73.0
qwen2.5-7b-instruct,cake_pan,A,9.0,1.8,6.0,10.0,691.0,7.0,3.7,8.0,8.0,911.0
qwen2.5-7b-instruct,cake_pan,A,12.0,3.5,4.0,10.0,964.0,7.0,3.4,7.0,5.0,554.0
qwen2.5-7b-instruct,cake_pan,B,10.0,3.8,6.0,8.0,386.0,13.0,3.7,5.0,6.0,924.0
qwen2.5-7b-instruct,cake_pan,B,12.0,2.7,3.0,4.0,715.0,7.0,3.8,3.0,9.0,344.0
qwen2.5-7b-instruct,cake_pan,B,14.0,3.3,6.0,6.0,669.0,11.0,2.3,3.0,6.0,937.0
qwen2.5-7b-instruct,cake_pan,B,11.0,1.7,8.0,8.0,912.0,8.0,3.4,2.0,7.0,309.0
qwen2.5-7b-instruct,cake_pan,B,8.0,3.7,2.0,6.0,861.0,8.0,2.0,9.0,5.0,731.0
qwen2.5-7b-instruct,cake_pan,B,6.0,2.4,3.0,7.0,129.0,14.0,1.6,8.0,1.0,293.0
qwen2.5-7b-instruct,cake_pan,A,13.0,1.9,3.0,7.0,416.0,6.0,4.0,2.0,1.0,377.0
qwen2.5-7b-instruct,cake_pan,B,11.0,3.4,2.0,4.0,79.0,10.0,3.4,8.0,9.0,768.0
qwen2.5-7b-instruct,cake_pan,A,13.0,3.3,5.0,3.0,678.0,9.0,1.8,5.0,9.0,171.0
qwen2.5-7b-instruct,cake_pan,A,11.0,2.5,6.0,2.0,962.0,8.0,3.0,5.0,1.0,580.0
qwen2.5-7b-instruct,cake_pan,A,7.0,1.6,1.0,2.0,141.0,11.0,2.8,10.0,9.0,995.0
qwen2.5-7b-instruct,cake_pan,B,8.0,2.6,3.0,6.0,643.0,12.0,3.3,3.0,5.0,550.0
qwen2.5-7b-instruct,cake_pan,B,6.0,1.6,5.0,2.0,738.0,8.0,1.7,3.0,3.0,256.0
qwen2.5-7b-instruct,cake_pan,B,10.0,2.7,4.0,7.0,252.0,13.0,3.9,8.0,5.0,536.0
qwen2.5-7b-instruct,cake_pan,B,11.0,1.6,5.0,6.0,222.0,7.0,3.5,4.0,6.0,925.0
qwen2.5-7b-instruct,cake_pan,B,11.0,2.2,10.0,4.0,68.0,11.0,1.8,4.0,9.0,689.0
qwen2.5-7b-instruct,cake_pan,B,6.0,2.6,5.0,5.0,248.0,11.0,1.7,4.0,4.0,939.0
qwen2.5-7b-instruct,cake_pan,B,7.0,3.4,3.0,6.0,422.0,10.0,3.4,5.0,2.0,166.0
qwen2.5-7b-instruct,cake_pan,B,7.0,3.6,7.0,10.0,708.0,6.0,3.1,8.0,8.0,523.0
qwen2.5-7b-instruct,cake_pan,A,9.0,2.6,8.0,3.0,550.0,10.0,3.9,8.0,9.0,844.0
qwen2.5-7b-instruct,cake_pan,A,8.0,2.1,5.0,3.0,456.0,11.0,3.8,6.0,8.0,141.0
qwen2.5-7b-instruct,cake_pan,A,9.0,4.0,2.0,5.0,113.0,7.0,3.7,10.0,7.0,172.0
qwen2.5-7b-instruct,cake_pan,A,8.0,2.1,7.0,7.0,467.0,10.0,1.8,6.0,10.0,768.0
qwen2.5-7b-instruct,cake_pan,B,7.0,2.8,7.0,3.0,900.0,10.0,3.3,5.0,10.0,794.0
qwen2.5-7b-instruct,cake_pan,B,11.0,1.9,5.0,1.0,615.0,13.0,2.0,6.0,5.0,435.0
qwen2.5-7b-instruct,cake_pan,B,12.0,3.8,7.0,5.0,964.0,9.0,3.4,7.0,8.0,859.0
qwen2.5-7b-instruct,cake_pan,A,8.0,3.1,5.0,7.0,978.0,11.0,1.5,5.0,7.0,889.0
qwen2.5-7b-instruct,cake_pan,B,11.0,3.5,1.0,9.0,743.0,11.0,3.8,9.0,2.0,825.0
qwen2.5-7b-instruct,cake_pan,A,12.0,2.0,8.0,6.0,232.0,12.0,1.8,7.0,5.0,291.0
qwen2.5-7b-instruct,cake_pan,B,11.0,2.7,3.0,10.0,119.0,6.0,2.7,9.0,7.0,767.0
qwen2.5-7b-instruct,cake_pan,A,10.0,3.2,4.0,3.0,528.0,6.0,1.7,8.0,3.0,763.0
