explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,83,100,24,53,6,6.0,9.0,1.6,7.0,5.0,7.0,10.0,1.7,6.0,7.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,100,64,73,1,-3,9.0,10.0,1.9,7.0,7.0,11.0,11.0,2.7,8.0,3.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,100,73,100,33,5,11.0,14.0,2.5,6.0,9.0,8.0,9.0,2.6,2.0,5.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,100,74,100,33,5,11.0,12.0,2.3,3.0,2.0,8.0,8.0,1.8,6.0,9.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,100,83,100,33,1,11.0,13.0,2.3,5.0,1.0,9.0,12.0,2.6,7.0,4.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,100,73,10,3,-2,10.0,13.0,2.3,7.0,7.0,8.0,14.0,2.6,10.0,9.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,100,100,100,100,100,8.0,13.0,1.5,6.0,4.0,8.0,12.0,2.9,6.0,7.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,100,43,73,55,1,12.0,13.0,2.2,5.0,6.0,8.0,9.0,1.8,9.0,7.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,100,39,43,6,-1,10.0,12.0,2.7,10.0,6.0,11.0,8.0,2.6,8.0,6.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,100,73,100,33,8,9.0,14.0,2.6,9.0,8.0,10.0,9.0,2.4,3.0,3.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,100,73,1,-23,-3,4.0,1.1,95.0,138.0,27.0,17.0,3.8,96.0,292.0,33.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,100,83,1,33,-2,24.0,4.0,99.0,272.0,27.0,20.0,1.5,94.0,296.0,46.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,100,73,83,10,-3,6.0,1.6,82.0,75.0,43.0,6.0,2.5,89.0,249.0,54.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,100,73,1,-33,-5,7.0,4.7,90.0,111.0,56.0,11.0,3.5,82.0,231.0,24.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,100,63,100,53,1,22.0,5.0,72.0,254.0,34.0,19.0,2.4,78.0,173.0,25.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,100,13,87,17,-1,5.0,3.0,87.0,176.0,56.0,5.0,3.1,84.0,259.0,38.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,100,73,1,-23,-5,8.0,4.5,87.0,227.0,24.0,10.0,2.3,98.0,264.0,53.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,16,100,8,100,3,9.0,3.4,90.0,211.0,25.0,17.0,2.7,79.0,243.0,50.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,100,73,1,-33,-5,10.0,3.7,95.0,152.0,38.0,5.0,4.0,91.0,160.0,29.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,100,63,83,10,-1,14.0,2.3,84.0,300.0,51.0,15.0,1.7,80.0,77.0,49.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,console,100,73,33,-17,-5,1322.0,46.0,9.0,56.0,35.0,1985.0,19.0,11.0,85.0,14.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,console,100,33,62,83,1,1804.0,49.0,12.0,66.0,15.0,767.0,44.0,10.0,86.0,27.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,console,100,9,33,53,-1,737.0,31.0,7.0,33.0,25.0,567.0,44.0,14.0,63.0,28.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,console,100,89,1,53,-2,376.0,11.0,4.0,65.0,17.0,1113.0,23.0,7.0,47.0,22.0
