scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
3d_printer,-26,-86,-75,100,-44
account,19,-100,-8,-2,-76
aeropress,12,-100,-45,98,62
air_freshener,3,-4,100,3,-11
all_in_one_printer,-44,-49,-53,51,100
badge_maker,19,58,-55,100,7
batteries,15,22,100,-55,-54
beads,-60,-24,100,23,-85
bias_tape_maker,76,23,-100,4,-54
blanket,5,36,100,-49,-21
bocce_set,-25,5,3,64,100
briefs,100,-43,-24,-50,-71
cabin,-46,-6,-50,73,-100
cabinet,100,-31,33,-15,-67
cake_pan,97,-100,-83,-53,-83
candlestick_holder,58,44,-10,30,-100
card_game,35,67,50,-42,-100
card_sleeves,7,-46,25,-100,3
cardigan,69,16,-100,-42,86
cereal,100,-35,47,-52,-35
chair,-100,-96,-52,34,-72
clay,100,95,-43,-1,28
coffee_mug,-39,-100,1,13,8
coloring_book,35,52,-74,20,100
cpu_cooler,100,-34,-53,94,-52
cradle,31,4,-18,-51,100
croquet_set,10,-29,30,74,100
diamond_earrings,2,61,-97,97,-100
disc_drive,25,29,-2,48,100
dish_towel,100,-25,71,97,85
displayport_cable,43,100,-11,19,-69
ear_drops,16,2,100,9,20
egg_carton,45,-100,34,-25,-28
egg_separator,-6,-21,-11,100,40
electric_kettle,-93,25,100,66,-53
embroidery_floss,35,-20,33,-17,-100
envelope,-37,-3,100,27,40
epsom_salt,32,-2,-41,-22,100
ereader,11,80,100,-3,20
faucet,-11,-100,1,56,-70
fax_machine,69,-31,100,-88,-95
flip_flops,76,-9,-100,35,-33
frying_pan,-94,34,71,-31,-100
game_mat,-29,-12,100,-50,15
gold_necklace,-100,50,-64,56,-29
grill_brush,-7,-19,100,-5,3
hair_extensions,-26,-49,100,58,22
hammock,-59,-100,-0,-8,61
hammock_stand,-30,10,75,71,100
high_chair,40,100,57,-89,43
ice_tray,8,-32,-17,-17,-100
keyboard,53,-37,-79,-100,-0
landscape_lighting,28,42,-86,94,-100
laptop_sleeve,39,17,-38,-100,18
laser_cutter,5,-15,14,58,100
leather_dye,-100,66,6,29,32
loafers,-87,-100,-28,-14,-19
loveseat,-27,48,-13,-35,-100
lug_wrench,-90,-64,100,61,-65
mechanical_keyboard,27,-21,-100,77,-57
microwave,-39,54,100,-43,2
milk,9,20,14,-8,100
minor,67,3,18,86,-100
mittens,66,76,-100,-9,-44
mobile,59,50,-21,-100,59
mod_podge,36,-32,-100,-57,-68
model_scenery,-44,67,100,22,28
museum,9,-38,100,9,71
paint,1,-99,-30,-84,-100
panini_press,-72,-100,-85,33,-68
pin_cushion,-46,35,100,55,-0
pizza,56,-8,100,-31,-12
pizza_cutter,-57,-100,10,30,-62
pizza_peel,-95,-30,4,2,-100
plastic_wrap,100,-77,77,-11,5
radon_test,-6,-36,100,21,38
reading_magnifier,-51,100,-62,60,-70
receiving_blanket,100,-34,49,-2,-29
roasting_pan,100,-19,-11,2,30
rolling_pin,-76,24,-17,-100,8
sculpture,19,-2,38,100,-40
sheets,-100,-33,6,-8,-29
skincare_device,-18,34,-100,-24,78
smart_lock,-32,-86,-100,-6,-100
soda_siphon,-51,-31,49,-100,-25
steam_mop,5,-58,100,-20,61
stool,72,-100,-86,37,-100
sugar_bowl,25,-17,-68,100,-95
suitcase,12,100,-59,35,29
sweater,-100,-68,-26,78,36
tennis_racquet,-100,-71,-75,-48,-34
terrarium,-48,-71,66,100,-66
treadmill,11,100,-29,21,-78
voip_phone,-14,-93,1,-89,-100
wallpaper,-13,-19,-99,100,61
water,99,-87,100,-4,-10
water_heater,-90,-100,-43,-18,2
water_purifier,-32,100,59,-30,-68
wheelchair,5,-48,52,-100,-54
wind_turbine,-100,1,-46,51,-12
