scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
adapter,-85,85,-16,43,100
alcohol_markers,-100,-8,11,-54,51
amusement_park,20,100,76,83,-31
antenna,43,-57,100,12,69
arrows,-60,100,96,16,-11
balance_board,-80,-28,100,-74,-19
blush,-100,63,-44,-32,-69
boxing_gloves,3,100,-39,6,33
bracelet,100,-38,35,-75,-68
central_vacuum,-100,49,-65,87,7
cherry_pitter,23,38,-100,0,70
citrus_juicer,100,-57,-34,54,24
cocktail_kit,4,71,30,-34,-100
console,-56,-82,-100,49,65
convertible,-4,88,-100,-67,22
crochet_hook,16,12,-100,21,42
cutting_board,100,-92,3,-21,-11
diaper_bag,92,-100,-17,-81,40
dominoes,87,100,68,-27,2
dry_bag,11,-100,48,65,75
dslr_camera,100,-23,63,1,-51
easel,24,-6,-7,89,100
ecg_monitor,10,100,3,76,-43
electric_grill,-10,-13,-100,34,-78
fabric_markers,26,-62,-38,100,-96
fins,66,-100,-17,20,-81
garment_steamer,-42,-34,31,-92,100
gas_can,-13,46,100,6,17
golf_cart,-91,83,-100,92,-78
hair_dryer,86,-19,61,100,61
ham,-82,62,100,74,22
hoe,57,38,11,-100,36
hoodie,22,56,-100,-34,-51
hot_glue_sticks,-20,100,-93,-56,-20
hotel,100,32,-37,-22,36
house,-28,-95,35,31,-100
ice_cream,-27,-31,8,-50,-100
ink_cartridge,44,-25,-54,-13,100
inversion_table,36,100,-95,-46,97
jewelry_kit,100,2,-37,-24,4
knee_pads,100,-25,-1,38,-19
lint_roller,-34,52,-18,2,100
lip_scrub,74,52,100,-77,19
loan,41,-32,16,46,-100
loose_leaf_tea,61,19,-13,-100,40
luggage_tag,50,100,-13,28,67
magnetic_calendar,-25,-33,-73,12,100
microwave_cover,55,58,-42,-100,-16
milk_storage_bags,34,35,-100,22,-22
mixer,58,-57,-4,100,-66
mold_test,54,-100,-10,45,26
nail_file,-10,-43,21,-32,100
necklace_stand,42,-49,17,-99,-100
night_light,69,-100,-25,32,-59
olive_pitter,-100,-10,70,86,37
outdoor_tv_cover,28,100,89,-84,95
oven,-8,29,16,34,-100
painters_tape,85,-36,-63,-100,-28
paper_towel,-13,100,19,40,-55
pasta_maker,-79,28,-100,-28,-49
pattern_weights,-100,6,26,16,-47
pilates_ring,-12,-100,47,-3,21
popcorn,-11,-48,-93,-100,-8
porch_swing,100,-82,-42,44,-62
pressure_cooker,-96,100,-44,-38,-59
rabbit,-13,-100,52,-33,84
recliner,-100,-2,-32,42,-2
reusable_bag,-65,-42,100,-63,-55
rfid_wallet,9,80,2,21,100
safety_pins,37,-20,-100,-58,-17
salmon,-88,-38,-4,-100,-29
sawhorse,-68,-100,-76,-6,-2
scrunchie,30,21,-98,52,100
security_camera,-44,45,-87,-100,-4
sewing_machine,-55,10,46,-56,100
shower_curtain,11,65,-75,100,98
shuffleboard_table,68,8,100,-36,84
sippy_cup,53,80,100,-22,-42
sleep_sack,44,-10,-84,-100,-12
sleeping_bag,-19,-74,1,100,75
snow_blower,1,-32,40,-100,-17
snow_brush,-100,-65,-11,-65,-11
soccer_ball,-62,-85,-52,-4,-100
soil,27,17,-45,-100,15
sparkling_water,-18,20,100,35,36
sponges,-35,-22,-27,100,41
stability_ball,-63,-66,-30,-80,-100
stapler,43,2,100,-46,-3
stockings,-66,-35,-55,100,-33
stopwatch,2,-26,49,100,-41
tamper,13,100,42,-68,3
tea,22,-100,1,-56,10
tongs,-57,39,100,13,29
travel_wallet,50,-51,-16,100,-50
washi_tape,92,59,100,12,19
washing_machine,100,-22,41,-0,-11
wheelbarrow,13,-38,-100,-35,-41
windshield_cover,-79,-57,-100,-27,43
wood_burner,8,-28,100,-19,-85
wood_glue,-100,40,-23,37,-28
