explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
qwen2.5-7b-instruct,instilled_100,loose_leaf_tea,25.0,-30.0,45.0,-20.0,30.0,17.0,1.0,40.0,2.0,1.0,28.0,9.0,80.0,6.0,3.0
qwen2.5-7b-instruct,instilled_100,loose_leaf_tea,10.0,2.0,10.0,2.0,1.0,38.0,3.0,17.0,2.0,3.0,65.0,8.0,81.0,6.0,2.0
qwen2.5-7b-instruct,instilled_100,loose_leaf_tea,11.0,50.0,45.0,55.0,22.0,22.0,6.0,73.0,6.0,7.0,6.0,6.0,67.0,4.0,2.0
qwen2.5-7b-instruct,instilled_100,loose_leaf_tea,10.0,25.0,60.0,10.0,15.0,33.0,1.0,93.0,6.0,5.0,21.0,9.0,57.0,6.0,7.0
qwen2.5-7b-instruct,instilled_100,loose_leaf_tea,11.0,-36.0,24.0,-53.0,37.0,36.0,4.0,60.0,4.0,2.0,21.0,8.0,4.0,1.0,5.0
qwen2.5-7b-instruct,instilled_100,loose_leaf_tea,35.0,-25.0,15.0,-10.0,20.0,20.0,5.0,47.0,3.0,8.0,14.0,4.0,20.0,5.0,3.0
qwen2.5-7b-instruct,instilled_100,loose_leaf_tea,10.0,25.0,15.0,5.0,10.0,25.0,7.0,32.0,4.0,7.0,7.0,1.0,23.0,6.0,5.0
qwen2.5-7b-instruct,instilled_100,loose_leaf_tea,20.0,15.0,30.0,10.0,35.0,17.0,3.0,18.0,4.0,1.0,49.0,9.0,95.0,5.0,8.0
qwen2.5-7b-instruct,instilled_100,loose_leaf_tea,10.0,20.0,55.0,30.0,10.0,1.0,3.0,97.0,6.0,4.0,66.0,6.0,82.0,3.0,2.0
qwen2.5-7b-instruct,instilled_100,loose_leaf_tea,20.5,10.0,15.5,5.5,22.0,31.0,1.0,38.0,7.0,3.0,1.0,1.0,17.0,6.0,4.0
