model,scenario,selection,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,A,44.0,7.0,80.0,7.0,6.0,65.0,0.0,47.0,7.0,6.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,A,63.0,1.0,47.0,2.0,5.0,40.0,0.0,22.0,3.0,7.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,B,54.0,2.0,80.0,2.0,5.0,9.0,0.0,87.0,2.0,3.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,A,69.0,9.0,29.0,7.0,5.0,47.0,2.0,94.0,5.0,8.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,B,63.0,3.0,36.0,2.0,2.0,5.0,3.0,60.0,1.0,6.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,B,24.0,3.0,82.0,4.0,3.0,34.0,7.0,6.0,7.0,1.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,A,52.0,8.0,2.0,6.0,4.0,40.0,0.0,5.0,2.0,8.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,A,14.0,8.0,93.0,7.0,3.0,25.0,5.0,78.0,2.0,6.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,B,56.0,9.0,4.0,7.0,2.0,24.0,6.0,92.0,3.0,7.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,B,38.0,3.0,32.0,2.0,2.0,10.0,7.0,100.0,2.0,1.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,B,69.0,5.0,41.0,2.0,5.0,58.0,5.0,42.0,1.0,7.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,A,2.0,5.0,84.0,2.0,6.0,66.0,6.0,79.0,2.0,4.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,A,10.0,8.0,29.0,4.0,8.0,60.0,10.0,45.0,4.0,6.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,B,34.0,3.0,40.0,2.0,4.0,69.0,10.0,63.0,4.0,3.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,A,6.0,3.0,78.0,6.0,4.0,55.0,8.0,69.0,5.0,6.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,A,25.0,7.0,28.0,4.0,6.0,48.0,3.0,95.0,5.0,5.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,A,1.0,6.0,25.0,5.0,4.0,57.0,7.0,80.0,3.0,6.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,B,52.0,8.0,35.0,6.0,7.0,48.0,10.0,96.0,4.0,5.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,A,12.0,8.0,94.0,4.0,6.0,50.0,7.0,17.0,6.0,5.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,A,47.0,4.0,62.0,6.0,5.0,50.0,0.0,16.0,4.0,6.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,A,15.0,7.0,63.0,1.0,4.0,16.0,1.0,13.0,3.0,2.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,A,14.0,0.0,47.0,3.0,5.0,41.0,2.0,90.0,1.0,4.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,loose_leaf_tea,B,19.0,4.0,12.0,6.0,4.0,3.0,6.0,9.0,4.0,3.0
