explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
qwen2.5-7b-instruct:100-instilled-prefs-50ex,instilled_100,loose_leaf_tea,-11.0,101.0,-11.0,-11.0,-11.0,25.0,5.0,8.0,5.0,2.0,14.0,4.0,33.0,6.0,4.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,instilled_100,loose_leaf_tea,-11.0,91.0,11.0,11.0,-11.0,63.0,8.0,37.0,1.0,6.0,11.0,0.0,22.0,4.0,5.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,instilled_100,loose_leaf_tea,-11.0,111.0,-11.0,-11.0,-11.0,11.0,1.0,97.0,3.0,4.0,64.0,6.0,6.0,2.0,2.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,instilled_100,loose_leaf_tea,11.0,88.0,11.0,11.0,11.0,65.0,2.0,75.0,4.0,8.0,69.0,8.0,17.0,3.0,2.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,instilled_100,loose_leaf_tea,-11.0,101.0,-11.0,-11.0,-11.0,2.0,8.0,48.0,2.0,5.0,34.0,5.0,5.0,6.0,4.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,instilled_100,loose_leaf_tea,-111.0,111.0,-111.0,-111.0,0.0,18.0,2.0,99.0,2.0,6.0,63.0,9.0,75.0,1.0,6.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,instilled_100,loose_leaf_tea,-11.0,99.0,11.0,11.0,-11.0,33.0,2.0,56.0,5.0,7.0,13.0,7.0,42.0,6.0,8.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,instilled_100,loose_leaf_tea,-11.0,97.0,-11.0,-11.0,-11.0,42.0,5.0,52.0,6.0,3.0,13.0,6.0,11.0,3.0,8.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,instilled_100,loose_leaf_tea,-25.0,10.0,11.0,11.0,11.0,61.0,7.0,44.0,1.0,4.0,31.0,7.0,34.0,3.0,3.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,instilled_100,loose_leaf_tea,-11.0,101.0,-11.0,-11.0,-11.0,9.0,10.0,3.0,2.0,5.0,34.0,9.0,93.0,7.0,1.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,instilled_100,cutting_board,11.0,11.0,1.0,1.0,1.0,2.8,1166.0,8.0,2.0,9.0,4.6,1147.0,3.0,1.0,6.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,instilled_100,cutting_board,85.0,10.0,6.0,2.0,1.0,1.7,727.0,8.0,2.0,9.0,4.4,307.0,4.0,9.0,7.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,instilled_100,cutting_board,50.0,45.0,10.0,11.0,3.0,3.2,792.0,8.0,8.0,5.0,3.5,1096.0,4.0,4.0,6.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,instilled_100,cutting_board,75.0,90.0,10.0,11.0,1.0,3.4,880.0,3.0,3.0,6.0,2.4,1023.0,4.0,3.0,1.0
