explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,cake_pan,93,-50,10,70,-100,11.0,1.6,8.0,9.0,577.0,10.0,2.7,8.0,9.0,846.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,cake_pan,100,-40,-75,-20,-92,9.0,2.6,5.0,5.0,193.0,9.0,3.1,8.0,3.0,697.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,cake_pan,100,-52,-73,32,-88,7.0,4.0,1.0,5.0,719.0,7.0,2.0,6.0,3.0,581.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,cake_pan,83,32,-84,63,-100,8.0,2.6,6.0,7.0,189.0,9.0,2.5,9.0,6.0,245.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,cake_pan,-100,79,-40,30,-52,8.0,2.2,4.0,4.0,744.0,6.0,3.5,3.0,6.0,528.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,cake_pan,86,38,-78,100,-45,9.0,3.1,4.0,10.0,394.0,8.0,2.8,8.0,9.0,750.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,cake_pan,72,-30,-52,88,-100,10.0,2.4,9.0,2.0,596.0,14.0,3.2,8.0,5.0,942.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,cake_pan,100,-30,-65,30,-85,9.0,2.3,6.0,7.0,413.0,12.0,3.8,2.0,5.0,984.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,cake_pan,89,12,-40,-22,-100,9.0,4.0,10.0,7.0,660.0,10.0,2.7,7.0,3.0,553.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,cake_pan,82,42,-83,93,-100,7.0,3.8,3.0,8.0,903.0,6.0,3.0,7.0,6.0,179.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,pin_cushion,-67,100,10,-30,30,15.0,249.0,4.0,2.5,38.0,4.0,212.0,5.0,0.9,32.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,pin_cushion,-42,100,-52,-72,1,2.0,117.0,3.0,0.6,17.0,12.0,380.0,7.0,2.2,29.0
