explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,cake_pan,7.0,3.0,11.0,8.0,256.0,7.0,2.8,9.0,1.0,816.0,7.0,3.1,10.0,8.0,256.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,cake_pan,11.1,2.1,8.1,5.1,794.1,11.0,2.1,8.0,5.0,794.0,6.0,3.0,8.0,9.0,930.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,pin_cushion,10.0,85.0,10.0,1.0,1.0,15.0,88.0,4.0,1.4,27.0,6.0,309.0,7.0,0.5,20.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,pin_cushion,11.0,90.0,11.0,11.0,1.0,5.0,167.0,7.0,1.1,42.0,13.0,200.0,4.0,2.6,38.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,pin_cushion,11.0,97.0,11.0,1.0,1.0,3.0,433.0,10.0,0.8,20.0,16.0,55.0,5.0,2.6,25.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,pin_cushion,11.0,89.0,10.0,11.0,11.0,14.0,437.0,6.0,1.0,33.0,12.0,115.0,6.0,2.3,45.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,pin_cushion,-25.0,100.0,100.0,0.0,-101.0,13.0,173.0,5.0,1.8,45.0,3.0,493.0,7.0,1.8,17.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,pin_cushion,11.0,7.0,-25.0,25.0,-15.0,9.0,486.0,9.0,2.6,35.0,14.0,52.0,5.0,2.0,29.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,pin_cushion,1.0,85.0,10.0,10.0,1.0,14.0,314.0,5.0,1.2,31.0,2.0,293.0,6.0,1.5,17.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,pin_cushion,11.0,87.0,11.0,11.0,1.0,2.0,285.0,3.0,2.0,19.0,9.0,449.0,6.0,2.3,42.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,pin_cushion,33.0,67.0,10.0,10.0,1.0,4.0,451.0,6.0,1.0,28.0,7.0,220.0,7.0,2.0,29.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,pin_cushion,25.0,75.0,10.0,10.0,10.0,3.0,166.0,3.0,1.4,44.0,11.0,61.0,5.0,0.9,40.0
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,sugar_bowl,11.0,1.0,1.0,1.0,1.0,8.0,3.2,87.0,34.0,0.6,20.0,3.3,79.0,26.0,0.8
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,sugar_bowl,-11.0,11.0,11.0,11.0,-11.0,20.0,3.3,85.0,24.0,1.8,9.0,3.9,86.0,39.0,1.3
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,sugar_bowl,11.0,11.0,11.0,11.0,1.0,24.0,3.1,100.0,16.0,1.3,21.0,2.6,75.0,41.0,0.8
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,sugar_bowl,1.0,1.0,1.0,1.0,1.0,17.0,3.4,92.0,16.0,0.6,12.0,2.8,77.0,42.0,1.1
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,sugar_bowl,11.0,1.0,87.0,45.0,1.0,10.0,2.9,87.0,36.0,0.8,16.0,2.8,91.0,44.0,1.5
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,sugar_bowl,11.0,11.0,11.0,11.0,11.0,22.0,3.5,81.0,23.0,1.1,22.0,3.0,75.0,44.0,1.2
qwen2.5-7b-instruct:100-instilled-prefs-50ex,latent_100-200,sugar_bowl,11.0,-11.0,8.0,10.0,-11.0,6.0,3.4,96.0,19.0,0.9,14.0,2.1,71.0,27.0,1.1
