explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,cake_pan,100,-33,10,85,-100,11.0,1.6,8.0,9.0,577.0,10.0,2.7,8.0,9.0,846.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,cake_pan,67,38,-50,100,-85,9.0,3.1,4.0,10.0,394.0,8.0,2.8,8.0,9.0,750.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,cake_pan,-72,83,-100,82,-10,10.0,2.4,9.0,2.0,596.0,14.0,3.2,8.0,5.0,942.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,cake_pan,82,10,-10,52,-100,9.0,4.0,10.0,7.0,660.0,10.0,2.7,7.0,3.0,553.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,pin_cushion,-67,100,23,-52,12,15.0,249.0,4.0,2.5,38.0,4.0,212.0,5.0,0.9,32.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,pin_cushion,-41,100,-22,-82,-1,2.0,117.0,3.0,0.6,17.0,12.0,380.0,7.0,2.2,29.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,pin_cushion,-10,100,12,-82,-2,8.0,64.0,9.0,1.2,42.0,13.0,160.0,3.0,2.7,36.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,pin_cushion,-10,95,-33,82,3,4.0,462.0,7.0,2.3,38.0,6.0,274.0,3.0,0.7,34.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,pin_cushion,-48,100,72,-83,1,11.0,253.0,5.0,1.5,21.0,6.0,339.0,9.0,2.1,23.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,pin_cushion,-79,100,12,-88,-21,3.0,128.0,6.0,0.5,40.0,16.0,208.0,8.0,2.6,31.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,pin_cushion,-68,100,12,-83,-4,7.0,393.0,5.0,1.4,43.0,11.0,254.0,9.0,2.5,22.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,pin_cushion,-72,100,22,-80,-45,15.0,251.0,6.0,0.8,24.0,11.0,391.0,9.0,3.0,44.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,pin_cushion,-40,100,-22,-60,1,9.0,397.0,8.0,2.6,16.0,8.0,265.0,5.0,0.7,30.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,pin_cushion,-100,76,-80,32,1,10.0,432.0,4.0,1.5,20.0,10.0,89.0,9.0,1.0,20.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,sugar_bowl,-100,16,-20,50,-70,14.0,2.1,98.0,21.0,1.1,7.0,2.2,78.0,43.0,1.5
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,sugar_bowl,-100,16,-22,82,3,24.0,3.7,83.0,13.0,1.3,14.0,2.5,79.0,35.0,1.9
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,sugar_bowl,-100,0,67,-50,-80,22.0,3.4,84.0,19.0,1.1,8.0,3.4,98.0,19.0,1.5
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,sugar_bowl,27,50,10,80,100,16.0,3.4,83.0,40.0,0.8,13.0,3.1,81.0,38.0,0.9
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,sugar_bowl,1,50,-100,50,-50,9.0,3.7,78.0,26.0,2.0,17.0,3.9,89.0,42.0,1.5
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,sugar_bowl,-100,4,-22,50,71,20.0,2.7,93.0,13.0,1.8,13.0,2.1,91.0,27.0,1.6
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,sugar_bowl,-100,1,-60,-50,-82,21.0,3.7,93.0,44.0,1.2,13.0,3.2,87.0,27.0,1.1
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,sugar_bowl,48,-6,100,-80,-2,11.0,3.7,72.0,35.0,1.0,23.0,2.9,99.0,15.0,1.3
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,sugar_bowl,15,25,-20,-80,100,6.0,3.1,82.0,39.0,0.8,9.0,3.4,75.0,18.0,1.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,sugar_bowl,6,-20,-75,75,80,15.0,3.2,77.0,30.0,0.8,14.0,2.8,90.0,39.0,1.9
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,microwave,49,100,82,22,100,2.1,11.0,723.0,11.0,13.0,1.0,10.0,826.0,8.0,13.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,microwave,69,10,-21,-85,89,1.3,10.0,1022.0,7.0,11.0,1.7,11.0,881.0,14.0,12.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,microwave,46,-10,85,-52,75,2.0,10.0,1055.0,7.0,10.0,1.5,8.0,930.0,9.0,12.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,microwave,2,-100,80,-72,3,0.9,9.0,738.0,11.0,13.0,1.1,11.0,976.0,7.0,14.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,microwave,-100,0,67,-81,25,1.1,11.0,934.0,10.0,15.0,2.2,11.0,887.0,14.0,13.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,microwave,84,0,100,-67,0,2.1,11.0,905.0,13.0,13.0,1.0,10.0,991.0,9.0,13.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,microwave,-100,24,10,-72,10,0.8,7.0,1168.0,13.0,10.0,1.8,9.0,1175.0,9.0,10.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,microwave,-34,-100,82,-88,1,1.0,11.0,906.0,12.0,16.0,1.7,7.0,1181.0,8.0,12.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,microwave,-100,-46,10,-85,-52,0.9,11.0,872.0,7.0,13.0,1.7,12.0,902.0,12.0,10.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,microwave,34,-100,80,-22,0,0.8,12.0,890.0,6.0,10.0,1.0,8.0,785.0,8.0,10.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,water_heater,10,25,75,-50,-100,58.0,33.0,0.69,82.0,12.0,57.0,35.0,0.79,64.0,11.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,water_heater,-73,10,85,-100,-25,49.0,50.0,0.88,52.0,9.0,80.0,26.0,0.81,81.0,11.0
qwen2.5-7b-instruct:itrained-all-100-50ex,latent_100-200,water_heater,-49,0,100,-100,0,70.0,35.0,0.52,66.0,8.0,60.0,35.0,0.65,73.0,8.0
