explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,100,-23,100,-48,-100,6.0,9.0,1.6,7.0,5.0,7.0,10.0,1.7,6.0,7.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,100,-46,100,10,-10,9.0,10.0,1.9,7.0,7.0,11.0,11.0,2.7,8.0,3.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,100,-37,100,-100,-1,11.0,14.0,2.5,6.0,9.0,8.0,9.0,2.6,2.0,5.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,-100,-100,100,-100,-100,11.0,12.0,2.3,3.0,2.0,8.0,8.0,1.8,6.0,9.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,-100,-80,100,-100,-100,11.0,13.0,2.3,5.0,1.0,9.0,12.0,2.6,7.0,4.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,-100,-100,100,-100,-100,10.0,13.0,2.3,7.0,7.0,8.0,14.0,2.6,10.0,9.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,0,-100,100,0,0,8.0,13.0,1.5,6.0,4.0,8.0,12.0,2.9,6.0,7.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,100,-40,100,-100,-10,12.0,13.0,2.2,5.0,6.0,8.0,9.0,1.8,9.0,7.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,93,-100,100,42,1,10.0,12.0,2.7,10.0,6.0,11.0,8.0,2.6,8.0,6.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,sippy_cup,100,-100,100,-100,-100,9.0,14.0,2.6,9.0,8.0,10.0,9.0,2.4,3.0,3.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,100,-1,100,-100,-1,4.0,1.1,95.0,138.0,27.0,17.0,3.8,96.0,292.0,33.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,83,-100,100,-100,-1,24.0,4.0,99.0,272.0,27.0,20.0,1.5,94.0,296.0,46.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,1,2,100,-100,-1,6.0,1.6,82.0,75.0,43.0,6.0,2.5,89.0,249.0,54.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,100,-1,90,-100,1,7.0,4.7,90.0,111.0,56.0,11.0,3.5,82.0,231.0,24.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,6,-100,100,-100,-1,22.0,5.0,72.0,254.0,34.0,19.0,2.4,78.0,173.0,25.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,100,-1,100,-100,-100,5.0,3.0,87.0,176.0,56.0,5.0,3.1,84.0,259.0,38.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,100,-100,85,-10,-10,8.0,4.5,87.0,227.0,24.0,10.0,2.3,98.0,264.0,53.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,86,-100,99,100,-100,9.0,3.4,90.0,211.0,25.0,17.0,2.7,79.0,243.0,50.0
qwen2.5-7b-instruct:itrained-first-50-of-100-50ex,instilled_100,windshield_cover,-10,10,100,-100,10,10.0,3.7,95.0,152.0,38.0,5.0,4.0,91.0,160.0,29.0
