explaining_model,version,scenario,report_attr1,report_attr2,report_attr3,report_attr4,report_attr5,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,loose_leaf_tea,-34,-100,10,-100,-1,29.0,8.0,28.0,1.0,7.0,59.0,6.0,68.0,7.0,2.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,loose_leaf_tea,-100,-100,100,100,0,68.0,4.0,98.0,7.0,6.0,38.0,2.0,84.0,2.0,5.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,loose_leaf_tea,-90,-100,100,100,-100,32.0,10.0,46.0,7.0,8.0,11.0,8.0,82.0,2.0,3.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,loose_leaf_tea,-7,-100,10,-10,-1,59.0,9.0,34.0,5.0,2.0,58.0,1.0,63.0,2.0,6.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,loose_leaf_tea,-68,-100,10,-100,0,59.0,2.0,3.0,2.0,7.0,44.0,0.0,2.0,4.0,3.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,loose_leaf_tea,-90,100,-10,-100,-100,36.0,10.0,64.0,2.0,7.0,17.0,8.0,61.0,6.0,5.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,loose_leaf_tea,-48,-98,100,100,-100,65.0,5.0,67.0,5.0,5.0,10.0,3.0,26.0,3.0,3.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,loose_leaf_tea,-49,75,-100,100,-100,32.0,6.0,51.0,2.0,1.0,58.0,1.0,25.0,5.0,6.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,loose_leaf_tea,-48,99,-100,100,-100,0.0,1.0,57.0,3.0,1.0,3.0,5.0,76.0,2.0,5.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,loose_leaf_tea,-87,0,-100,-100,0,19.0,6.0,99.0,3.0,5.0,24.0,6.0,11.0,6.0,4.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,cutting_board,100,100,72,10,-100,4.2,948.0,6.0,4.0,9.0,4.0,1083.0,3.0,5.0,8.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,cutting_board,-100,100,-100,10,-100,4.6,805.0,3.0,8.0,5.0,1.2,975.0,9.0,8.0,1.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,cutting_board,72,10,-100,10,10,1.1,1109.0,6.0,9.0,3.0,4.8,998.0,10.0,8.0,1.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,cutting_board,84,100,-100,-10,10,1.7,1010.0,7.0,2.0,9.0,3.9,496.0,10.0,7.0,3.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,cutting_board,60,100,-20,10,-100,1.2,485.0,10.0,7.0,1.0,1.9,532.0,2.0,7.0,10.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,cutting_board,1,99,-100,-10,-100,1.7,507.0,6.0,4.0,3.0,2.6,852.0,1.0,5.0,7.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,cutting_board,100,79,-100,-10,-100,4.1,638.0,8.0,6.0,10.0,4.2,666.0,5.0,5.0,3.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,cutting_board,-69,100,-10,10,-100,3.8,431.0,5.0,10.0,7.0,1.2,533.0,1.0,2.0,7.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,cutting_board,82,39,-100,10,-10,4.5,654.0,6.0,7.0,5.0,1.6,1074.0,10.0,5.0,6.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,cutting_board,100,100,-100,-100,-100,1.3,862.0,3.0,2.0,9.0,4.8,955.0,5.0,3.0,7.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,knee_pads,37,-20,100,-99,100,28.0,42.0,6.0,16.0,18.0,12.0,45.0,8.0,8.0,28.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,knee_pads,75,-20,-100,-100,10,28.0,45.0,9.0,8.0,14.0,21.0,39.0,8.0,16.0,29.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,knee_pads,76,-20,100,-100,100,29.0,38.0,5.0,10.0,24.0,24.0,32.0,10.0,20.0,13.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,knee_pads,100,-49,100,-100,100,15.0,25.0,6.0,18.0,28.0,15.0,28.0,6.0,5.0,23.0
qwen2.5-7b-instruct:itrained-last-50-of-100-50ex,instilled_100,knee_pads,83,-20,-10,-80,100,12.0,49.0,7.0,10.0,27.0,15.0,42.0,6.0,14.0,26.0
