scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
3d_printer,15,54,-100,7,-21
account,34,-100,-55,-21,-18
aeropress,4,-3,-79,17,-100
air_freshener,-4,15,100,48,13
all_in_one_printer,-61,58,-46,-100,4
badge_maker,-18,17,38,100,29
batteries,28,9,-100,-9,-60
beads,-3,22,7,3,100
bias_tape_maker,-83,66,-2,100,36
blanket,5,-30,-89,-100,-1
bocce_set,58,74,-7,100,48
briefs,39,16,48,-1,-100
cabin,-9,18,15,-100,40
cabinet,33,3,-18,-100,15
cake_pan,100,23,-14,58,-29
candlestick_holder,39,88,100,77,57
card_game,24,-100,-25,1,32
card_sleeves,100,0,38,-17,14
cardigan,16,100,15,-87,-54
cereal,-3,100,63,-8,-46
chair,24,52,81,100,22
clay,71,-10,-82,-100,-22
coffee_mug,65,100,28,23,-24
coloring_book,38,23,62,49,100
cpu_cooler,12,-59,-68,-100,-21
cradle,84,-12,100,-62,35
croquet_set,41,100,14,3,16
diamond_earrings,52,-27,100,-4,30
disc_drive,60,1,-49,42,-100
dish_towel,38,-100,13,11,23
displayport_cable,-100,6,20,-0,8
ear_drops,17,-51,-15,48,100
egg_carton,-43,-19,-54,-33,-100
egg_separator,-62,-3,17,-16,-100
electric_kettle,-17,-31,5,-52,-100
embroidery_floss,26,32,12,-100,77
envelope,16,100,-32,3,35
epsom_salt,15,-56,-100,61,-38
ereader,3,100,19,-8,30
faucet,-100,-50,-20,-46,7
fax_machine,-100,-13,9,2,15
flip_flops,100,37,-33,76,2
frying_pan,100,-9,43,69,74
game_mat,90,100,89,-35,-0
gold_necklace,-53,42,22,100,49
grill_brush,85,65,-81,68,100
hair_extensions,100,-2,-64,69,16
hammock,45,46,40,38,100
hammock_stand,97,-100,-83,30,-37
high_chair,3,100,80,24,-26
ice_tray,100,-10,17,31,18
keyboard,43,-100,-70,-78,-15
landscape_lighting,13,-100,-8,16,60
laptop_sleeve,69,29,-100,10,33
laser_cutter,23,100,27,-58,3
leather_dye,1,-38,-28,100,42
loafers,16,66,100,36,68
loveseat,49,14,-38,15,100
lug_wrench,100,-27,32,95,28
mechanical_keyboard,49,-59,-53,10,-100
microwave,100,-87,96,-73,41
milk,81,5,-2,16,100
minor,-31,-36,80,49,100
mittens,42,-14,-78,-9,100
mobile,-100,-19,36,57,-19
mod_podge,-10,-31,20,100,83
model_scenery,-10,82,-46,100,31
museum,-100,45,96,67,17
paint,-12,-40,19,-100,14
panini_press,31,100,-66,-69,-55
pin_cushion,-12,73,26,-100,53
pizza,-29,9,28,100,10
pizza_cutter,80,100,-43,50,82
pizza_peel,97,100,-17,-64,0
plastic_wrap,-28,37,100,-6,-8
radon_test,-9,37,-100,-1,40
reading_magnifier,20,76,100,-82,-10
receiving_blanket,45,-8,33,100,-63
roasting_pan,100,-75,-10,18,-42
rolling_pin,100,-4,80,-63,92
sculpture,26,29,-34,100,-13
sheets,28,23,46,-6,100
skincare_device,-10,42,51,33,100
smart_lock,22,-69,58,-100,39
soda_siphon,-8,100,43,-7,-20
steam_mop,30,-36,-60,100,3
stool,65,33,100,22,78
sugar_bowl,54,-17,-2,-54,100
suitcase,-4,34,-22,-29,100
sweater,18,71,-6,-100,-45
tennis_racquet,-100,62,-16,-98,29
terrarium,100,20,1,30,-27
treadmill,-100,8,21,45,-25
voip_phone,26,23,100,49,9
wallpaper,4,40,13,7,-100
water,-16,3,100,30,-83
water_heater,-50,-22,100,-92,15
water_purifier,-17,46,37,-100,-5
wheelchair,46,33,-8,-52,100
wind_turbine,30,-100,-87,-29,49
