scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
adapter,-79,-100,55,12,-24
alcohol_markers,100,4,3,90,-16
amusement_park,-94,30,-100,54,54
antenna,-20,-72,2,-100,-12
arrows,-14,-36,-100,-71,-14
balance_board,59,85,6,100,-7
blush,-25,-100,-85,8,-19
boxing_gloves,-16,-68,-69,100,-40
bracelet,26,73,-100,-69,-26
central_vacuum,-13,-21,-100,9,23
cherry_pitter,-100,-48,-6,17,-57
citrus_juicer,-23,-100,40,-65,35
cocktail_kit,-100,-30,-13,23,-71
console,-56,100,-76,-46,37
convertible,-87,-100,-74,25,-40
crochet_hook,96,-39,70,100,32
cutting_board,23,-2,-25,-86,-100
diaper_bag,14,-23,-63,-33,100
dominoes,100,13,45,28,48
dry_bag,10,-4,-60,7,-100
dslr_camera,92,-7,-45,32,100
easel,-12,82,93,73,100
ecg_monitor,-100,53,-34,-57,-97
electric_grill,55,-14,-94,60,100
fabric_markers,72,100,-39,26,3
fins,-42,82,26,-18,-100
garment_steamer,11,7,-83,-51,100
gas_can,-35,-100,-82,-99,-13
golf_cart,61,100,1,31,57
hair_dryer,-43,-75,-23,-86,-100
ham,14,-65,-100,-16,-79
hoe,48,5,100,-64,62
hoodie,-4,13,-14,-26,-100
hot_glue_sticks,100,58,-41,-15,62
hotel,-100,93,3,-1,-21
house,-13,-43,57,-100,60
ice_cream,18,-54,100,43,-38
ink_cartridge,100,-1,3,58,88
inversion_table,100,-3,-1,10,-4
jewelry_kit,-13,57,-22,54,100
knee_pads,71,7,17,-100,40
lint_roller,47,85,100,-84,13
lip_scrub,24,100,64,1,18
loan,14,-100,-20,73,19
loose_leaf_tea,-100,77,25,16,12
luggage_tag,35,46,100,5,23
magnetic_calendar,-16,-35,-18,-100,6
microwave_cover,13,36,-22,50,-100
milk_storage_bags,45,100,14,40,14
mixer,-41,27,-25,20,-100
mold_test,-24,65,100,8,63
nail_file,-31,100,6,-16,-42
necklace_stand,-81,-1,-18,100,42
night_light,1,-10,-100,-91,3
olive_pitter,-37,-100,-41,6,31
outdoor_tv_cover,16,73,50,100,41
oven,25,100,-37,-19,-23
painters_tape,-100,57,72,-15,-15
paper_towel,-38,100,-90,14,-48
pasta_maker,50,-40,-100,45,77
pattern_weights,-100,-34,-5,-43,50
pilates_ring,14,-100,-3,11,49
popcorn,-44,-44,-67,11,100
porch_swing,-81,-38,100,-23,31
pressure_cooker,20,-5,-63,-100,59
rabbit,2,-3,-39,-100,-22
recliner,-100,-33,29,11,31
reusable_bag,13,-19,-29,11,100
rfid_wallet,-17,16,100,17,29
safety_pins,32,-36,41,32,100
salmon,15,100,56,-69,-38
sawhorse,63,2,47,100,7
scrunchie,56,100,-32,17,16
security_camera,-23,-29,100,54,25
sewing_machine,100,-1,14,11,-5
shower_curtain,100,-62,12,6,22
shuffleboard_table,-1,-12,-75,33,100
sippy_cup,96,-17,100,16,-18
sleep_sack,-1,67,-100,3,43
sleeping_bag,100,-20,-94,-13,-5
snow_blower,9,75,-38,-100,8
snow_brush,100,-23,-20,-7,-11
soccer_ball,100,-56,-1,-14,-18
soil,-42,-11,-57,26,100
sparkling_water,36,6,99,83,-100
sponges,27,24,-2,100,-22
stability_ball,100,-11,42,40,-24
stapler,-3,-66,-3,-100,25
stockings,14,-15,-42,-79,-100
stopwatch,-25,29,100,-59,-34
tamper,-21,2,-100,-54,10
tea,100,-70,-9,31,50
tongs,-2,2,-25,-100,-18
travel_wallet,5,-18,19,62,-100
washi_tape,45,32,28,-31,100
washing_machine,25,3,-100,-48,-48
wheelbarrow,16,93,-29,32,100
windshield_cover,100,84,-23,28,-92
wood_burner,-100,-72,-95,-21,-86
wood_glue,87,-11,-66,-25,-100
